,m_poor_1_33,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,check,year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
303,1,0.41095379,0.342950314,0.115483522,0.130612358,0,1,2019,5,State,urban/rural,Age,statesector,1,Andhra Pradesh,65+,NA,NA,NA,NA,NA
605,1,0.420163274,0.392012686,0.126089334,0.060620792,0.001113922,1,2019,5,State,All,Education,state,99,Andhra Pradesh,NA,No education / Preschool,NA,NA,NA,NA
606,1,0.275142193,0.36337173,0.223991156,0.129092753,0.008402155,1,2019,5,State,All,Education,state,99,Andhra Pradesh,NA,Primary,NA,NA,NA,NA
607,1,0.413502812,0.376365483,0.103285953,0.106845759,0,1,2019,5,State,All,Education,state,99,Andhra Pradesh,NA,Secondary,NA,NA,NA,NA
608,1,0.336571962,0.119967915,0.169090509,0.131575555,0.242794067,1,2019,5,State,All,Education,state,99,Andhra Pradesh,NA,Higher,NA,NA,NA,NA
769,1,0.443092972,0.397823483,0.107299052,0.050556861,0.001227625,1,2019,5,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,No education / Preschool,NA,NA,NA,NA
770,1,0.299831182,0.371397048,0.213037908,0.106332771,0.009401103,1,2019,5,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,Primary,NA,NA,NA,NA
771,1,0.45096001,0.422509104,0.119758196,0.006772689,0,1,2019,5,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,Secondary,NA,NA,NA,NA
772,1,0.391426027,0.139520139,0.196648657,0.153019562,0.119385615,1,2019,5,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,Higher,NA,NA,NA,NA
773,1,0.195526123,0.335085779,0.310173333,0.159214795,0,1,2019,5,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,No education / Preschool,NA,NA,NA,NA
774,1,0.067483149,0.29587093,0.316119015,0.320526928,0,1,2019,5,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,Primary,NA,NA,NA,NA
775,1,0.178634852,0.087030977,0,0.734334171,0,1,2019,5,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,Secondary,NA,NA,NA,NA
776,1,0,0,0,0,1,1,2019,5,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,Higher,NA,NA,NA,NA
1069,1,0.369024724,0.382532001,0.162454203,0.081419356,0.004569727,1,2019,5,State,All,Gender,state,99,Andhra Pradesh,NA,NA,1,NA,NA,NA
1070,1,0.467854321,0.374112189,0.069109619,0.079723425,0.009200428,1,2019,5,State,All,Gender,state,99,Andhra Pradesh,NA,NA,2,NA,NA,NA
1162,1,0.393604726,0.393600881,0.150513098,0.059540253,0.002741051,1,2019,5,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,1,NA,NA,NA
1163,1,0.496673942,0.385242075,0.05313677,0.054765262,0.010181958,1,2019,5,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,2,NA,NA,NA
1164,1,0.153292626,0.285383433,0.267258048,0.273446381,0.020619528,1,2019,5,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,1,NA,NA,NA
1165,1,0.197712302,0.269785613,0.218831941,0.313670129,0,1,2019,5,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,2,NA,NA,NA
1338,1,0.748572886,0.196028486,0.050877653,0.004520977,0,1,2019,5,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,1,NA,NA
1339,1,0.549514115,0.339307308,0.083373852,0.025170693,0.002634002,1,2019,5,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,2 to 3,NA,NA
1340,1,0.279927135,0.418950707,0.196937621,0.094930544,0.009253981,1,2019,5,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,4 to 6,NA,NA
1341,1,0.297175795,0.408690929,0.120239213,0.173894078,0,1,2019,5,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,7+,NA,NA
1482,1,0.792276382,0.184565201,0.017963389,0.005195026,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,1,NA,NA
1483,1,0.567187309,0.335290909,0.070261247,0.024421878,0.002838645,1,2019,5,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,2 to 3,NA,NA
1484,1,0.312791795,0.438961387,0.18817775,0.053396162,0.006672898,1,2019,5,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,4 to 6,NA,NA
1485,1,0.29490602,0.430382073,0.107849047,0.16686286,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,7+,NA,NA
1486,1,0.455445021,0.272914976,0.271640003,0,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,1,NA,NA
1487,1,0.322039098,0.391003191,0.252148867,0.034808833,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,2 to 3,NA,NA
1488,1,0.025689594,0.264150202,0.264703065,0.416236192,0.029220965,1,2019,5,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,4 to 6,NA,NA
1489,1,0.318023324,0.209462211,0.234040231,0.238474235,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,7+,NA,NA
1756,1,0.397723764,0.347322226,0.170616075,0.075631388,0.008706565,1,2019,5,State,All,Owns House,state,99,Andhra Pradesh,NA,NA,NA,NA,0,NA
1757,1,0.385585189,0.389099389,0.138225004,0.082424633,0.004665786,1,2019,5,State,All,Owns House,state,99,Andhra Pradesh,NA,NA,NA,NA,1,NA
1829,1,0.481394321,0.363763124,0.119117066,0.035725486,0,1,2019,5,State,urban/rural,Owns House,statesector,0,Andhra Pradesh,NA,NA,NA,NA,0,NA
1830,1,0.400396258,0.39741838,0.134185523,0.063022755,0.004977068,1,2019,5,State,urban/rural,Owns House,statesector,0,Andhra Pradesh,NA,NA,NA,NA,1,NA
1831,1,0.159248859,0.300462902,0.31739673,0.189369798,0.033521712,1,2019,5,State,urban/rural,Owns House,statesector,1,Andhra Pradesh,NA,NA,NA,NA,0,NA
1832,1,0.163583115,0.264406502,0.198772356,0.373238027,0,1,2019,5,State,urban/rural,Owns House,statesector,1,Andhra Pradesh,NA,NA,NA,NA,1,NA
1975,1,0.393680632,0.371550858,0.156619906,0.072428122,0.005720502,1,2019,5,State,All,Agri Land,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,0
1976,1,0.377537549,0.39799577,0.122597158,0.096892737,0.00497678,1,2019,5,State,All,Agri Land,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,1
2047,1,0.431195885,0.388518065,0.136444449,0.04023616,0.003605439,1,2019,5,State,urban/rural,Agri Land,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,0
2048,1,0.385268688,0.397510022,0.124302723,0.087839872,0.005078693,1,2019,5,State,urban/rural,Agri Land,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,1
2049,1,0.173603356,0.272015363,0.274975955,0.261277139,0.018128185,1,2019,5,State,urban/rural,Agri Land,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,0
2050,1,0,0.421717167,0.03930847,0.538974345,0,1,2019,5,State,urban/rural,Agri Land,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,1
2185,1,0.211406931,0.436237067,0.303160787,0.047513779,0.001681455,1,2015,4,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2221,1,0.226807073,0.448638439,0.294905156,0.029649338,0,1,2015,4,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2222,1,0.083562404,0.333286554,0.371695101,0.195815846,0.015640095,1,2015,4,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
