,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,year,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
3861,0,0.049054753,0.007174011,0.00701143,0.154126152,0,0.157984897,0.031804647,0.116057292,0.005108224,0.040681772,2019,5,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3862,1,0.450388491,0,0,1,0.424946457,0.378996849,0.242287919,0.424946457,0.366952956,0.549611509,2019,5,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
3863,0,0.006811082,0,0.020614073,0.173316404,0,0.064926215,0,0.046409559,0.011162926,0.02174505,2019,5,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
4154,0,0.04533159,0.003960267,0.009259784,0.142704576,0.009718005,0.097579904,0.033425465,0.261323512,0.12459036,0.055702791,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4155,1,0.48269856,0.07937555,0.043585252,0.558736444,0.277966768,0.63100791,0.312812358,0.814696014,0.715920985,0.65245223,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4156,0,0.042856686,0.001523771,0.00035331,0.085409373,0.029796461,0.113180682,0.073007658,0.430302233,0.205554515,0.060823046,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
4157,1,0.28155452,0.059571706,0,0.484576613,0.59863466,0.888921618,0.579040468,0.909934878,0.93373847,0.734602511,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
4297,0,0.053186964,0.003581578,0.006568125,0.127134204,0.016332978,0.082041197,0.042548086,0.382243931,0.203965262,0.07086812,2019,5,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4298,1,0.489447683,0.095955968,0.05268959,0.466562778,0.247264802,0.683649361,0.327543914,0.896109104,0.788815439,0.673934162,2019,5,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
4299,0,0.052079067,0.001851673,0.000429339,0.083049387,0.036208395,0.111726306,0.088718265,0.487842739,0.249788031,0.068303615,2019,5,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
