,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
102,0.298143089,0.088028349,0.010582929,0.21011474,2019,State,urban/rural,All Households,statesector,0,Telangana,NA,NA,NA,NA,NA,NA
103,0.119937077,0.028692333,0.003414035,0.091244744,2019,State,urban/rural,All Households,statesector,1,Telangana,NA,NA,NA,NA,NA,NA
104,0.420604914,0.197023958,0.035889946,0.223580956,2019,State,urban/rural,All Households,statesector,0,Tripura,NA,NA,NA,NA,NA,NA
105,0.221391454,0.056249794,0.009139598,0.16514166,2019,State,urban/rural,All Households,statesector,1,Tripura,NA,NA,NA,NA,NA,NA
106,0.505267441,0.263667822,0.077120312,0.241599619,2019,State,urban/rural,All Households,statesector,0,Uttar Pradesh,NA,NA,NA,NA,NA,NA
107,0.241752371,0.115818553,0.028515523,0.125933818,2019,State,urban/rural,All Households,statesector,1,Uttar Pradesh,NA,NA,NA,NA,NA,NA
108,0.305023879,0.112156279,0.015606856,0.1928676,2019,State,urban/rural,All Households,statesector,0,Uttarakhand,NA,NA,NA,NA,NA,NA
109,0.155985102,0.065843552,0.01389845,0.09014155,2019,State,urban/rural,All Households,statesector,1,Uttarakhand,NA,NA,NA,NA,NA,NA
110,0.431642562,0.198426917,0.036459342,0.233215645,2019,State,urban/rural,All Households,statesector,0,West Bengal,NA,NA,NA,NA,NA,NA
111,0.193624124,0.056735307,0.011043457,0.136888817,2019,State,urban/rural,All Households,statesector,1,West Bengal,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,National,All,All Households,allindia_pop,99,India,0.163928062,0.042453505,NA,NA,NA,NA
113,0.571157873,0.333861947,0.110591821,0.237295926,2019,National,All,Age,allindia,99,India,NA,NA,15 to 29,NA,NA,NA
114,0.365694076,0.187942892,0.059301533,0.177751184,2019,National,All,Age,allindia,99,India,NA,NA,30 to 45,NA,NA,NA
115,0.320665389,0.131708652,0.026632037,0.188956737,2019,National,All,Age,allindia,99,India,NA,NA,45 to 64,NA,NA,NA
116,0.317662239,0.133663177,0.022088183,0.183999062,2019,National,All,Age,allindia,99,India,NA,NA,65+,NA,NA,NA
117,0.354819268,0.192317724,0.0540528,0.162501544,2019,National,All,Age,allindia,99,India,NA,NA,NA,NA,NA,NA
118,0.64533174,0.392735571,0.133034199,0.252596169,2019,National,urban/rural,Age,indiasector,0,India,NA,NA,15 to 29,NA,NA,NA
119,0.442223281,0.237404674,0.077314787,0.204818607,2019,National,urban/rural,Age,indiasector,0,India,NA,NA,30 to 45,NA,NA,NA
120,0.408623189,0.175304502,0.03635098,0.233318687,2019,National,urban/rural,Age,indiasector,0,India,NA,NA,45 to 64,NA,NA,NA
