,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
119,0,0.5632,0.1192,0.2743,2023,State,urban/rural,All Households,sector_state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,0.6126,0.0522,0.2831,2023,State,urban/rural,All Households,sector_state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0,0.5829,0.0668,0.3248,2023,State,urban/rural,All Households,sector_state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,0.5190,0.0272,0.4356,2023,State,urban/rural,All Households,sector_state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0,0.5344,0.1634,0.2492,2023,State,urban/rural,All Households,sector_state,NA,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,0.4841,0.0907,0.4031,2023,State,urban/rural,All Households,sector_state,NA,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0,0.2863,0.5781,0.0526,2023,State,urban/rural,All Households,sector_state,NA,99,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,0.1948,0.4559,0.3334,2023,State,urban/rural,All Households,sector_state,NA,99,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0,0.4887,0.1770,0.2633,2023,State,urban/rural,All Households,sector_state,NA,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,0.3636,0.0510,0.5050,2023,State,urban/rural,All Households,sector_state,NA,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
