State,Code,Indicator,Year,Value
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,2002,0.98
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,2002,10.21
Andhra Pradesh,central_share_gdp,Share in central government tax,2002,3.88
Andhra Pradesh,nontax_gdp,Non-tax revenues,2002,5.45
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,2002,3.17
Andhra Pradesh,grants_gdp,Grants from the Centre,2002,2.28
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,2002,0.41
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,2002,0.0
Andhra Pradesh,cur_rev_total,Current revenues,2002,98.04
Andhra Pradesh,tax_rev_total,Tax revenues,2002,72.17
Andhra Pradesh,own_tax_total,State's own tax revenues,2002,53.78
Andhra Pradesh,inc_tax_total,Taxes on Income,2002,0.67
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,2002,4.65
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,2002,48.45
Andhra Pradesh,central_share_total,Share in central government tax,2002,18.39
Andhra Pradesh,nontax_total,Non-tax revenues,2002,25.87
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,2002,15.04
Andhra Pradesh,grants_total,Grants from the Centre,2002,10.83
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,2002,1.96
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,2002,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,2002,0.93
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,2002,6.45
Andhra Pradesh,nontax_taxrev,Non-tax revenues,2002,35.84
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,2002,20.84
Andhra Pradesh,total_rev_gdp,Total revenues,2003,22.21
Andhra Pradesh,cur_rev_gdp,Current revenues,2003,21.22
Andhra Pradesh,tax_rev_gdp,Tax revenues,2003,14.9
Andhra Pradesh,own_tax_gdp,State's own tax revenues,2003,10.9
Andhra Pradesh,inc_tax_gdp,Taxes on Income,2003,0.13
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,2003,0.91
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,2003,9.86
Andhra Pradesh,central_share_gdp,Share in central government tax,2003,4.0
Andhra Pradesh,nontax_gdp,Non-tax revenues,2003,6.31
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,2003,2.85
Andhra Pradesh,grants_gdp,Grants from the Centre,2003,3.47
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,2003,0.99
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,2003,0.0
