,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
9314,West Bengal,2019,State,urban/rural,Sex,15312.65,5,0,Rural,Gender,1,NA,NA,NA
33677,Uttar Pradesh,2019,State,urban/rural,CWS Type,15312.65,5,0,Rural,CWSType,NA,NA,2,NA
50545,West Bengal,2019,State,urban/rural,Emp Type,15312.65,5,0,Rural,EmpType,NA,NA,NA,2
36290,Manipur,2020,State,urban/rural,CWS Type,15314.72,4,0,Rural,CWSType,NA,NA,1,NA
52705,Manipur,2020,State,urban/rural,Emp Type,15314.72,4,0,Rural,EmpType,NA,NA,NA,2
25960,Sikkim,2023,State,All,Youth,15315.24,4,99,All,Youth,NA,1,NA,NA
26738,Sikkim,2023,State,urban/rural,Youth,15315.24,4,0,Rural,Youth,NA,2,NA,NA
9715,India,2020,National,All,Sex,15317.49,4,99,All,Gender,1,NA,NA,NA
35394,Karnataka,2020,State,All,CWS Type,15317.49,4,99,All,CWSType,NA,NA,2,NA
1758,Tamil Nadu,2019,State,All,All Households,15318.04,4,99,All,Total,NA,NA,NA,NA
48148,Assam,2018,State,urban/rural,Emp Type,15318.04,4,1,Urban,EmpType,NA,NA,NA,3
51854,Goa,2020,State,All,Emp Type,15318.11,4,99,All,EmpType,NA,NA,NA,3
53246,Goa,2020,State,urban/rural,Emp Type,15318.11,4,1,Urban,EmpType,NA,NA,NA,3
25737,Delhi,2023,State,All,Youth,15318.52,Total,99,All,Youth,NA,1,NA,NA
25906,Delhi,2023,State,All,Youth,15318.52,3,99,All,Youth,NA,1,NA,NA
14139,Daman & Diu,2023,State,All,Sex,15318.69,Total,99,All,Gender,1,NA,NA,NA
14453,Daman & Diu,2023,State,All,Sex,15318.69,3,99,All,Gender,1,NA,NA,NA
15296,Daman & Diu,2023,State,urban/rural,Sex,15318.69,2,1,Urban,Gender,1,NA,NA,NA
27113,Daman & Diu,2023,State,urban/rural,Youth,15318.69,4,1,Urban,Youth,NA,1,NA,NA
31362,Arunachal Pradesh,2018,State,urban/rural,CWS Type,15318.91,2,1,Urban,CWSType,NA,NA,2,NA
26764,Arunachal Pradesh,2023,State,urban/rural,Youth,15319.1,4,0,Rural,Youth,NA,2,NA,NA
55350,Andhra Pradesh,2021,State,urban/rural,Emp Type,15321.73,5,0,Rural,EmpType,NA,NA,NA,3
5872,Jammu and Kashmir,2017,State,urban/rural,Sex,15323.02,3,0,Rural,Gender,1,NA,NA,NA
15594,Jammu and Kashmir,2017,State,All,Youth,15323.02,Total,99,All,Youth,NA,2,NA,NA
15703,Jammu and Kashmir,2017,State,All,Youth,15323.02,3,99,All,Youth,NA,2,NA,NA
50215,Bihar,2019,State,urban/rural,Emp Type,15323.02,5,0,Rural,EmpType,NA,NA,NA,3
6817,Jammu and Kashmir,2018,State,All,Sex,15323.05,3,99,All,Gender,1,NA,NA,NA
7767,Meghalaya,2018,State,urban/rural,Sex,15325.93,3,1,Urban,Gender,1,NA,NA,NA
48353,Gujarat,2018,State,urban/rural,Emp Type,15325.93,2,1,Urban,EmpType,NA,NA,NA,2
20921,Haryana,2020,State,All,Youth,15326.86,4,99,All,Youth,NA,1,NA,NA
35127,Manipur,2020,State,All,CWS Type,15331.33,4,99,All,CWSType,NA,NA,1,NA
52709,Manipur,2020,State,urban/rural,Emp Type,15331.33,5,0,Rural,EmpType,NA,NA,NA,3
13991,Puducherry,2022,State,urban/rural,Sex,15331.9,2,1,Urban,Gender,1,NA,NA,NA
41627,Puducherry,2022,State,urban/rural,CWS Type,15331.9,2,1,Urban,CWSType,NA,NA,3,NA
36367,Tripura,2020,State,urban/rural,CWS Type,15331.93,4,0,Rural,CWSType,NA,NA,3,NA
3240,Goa,2021,State,All,All Households,15332.31,2,99,All,Total,NA,NA,NA,NA
54140,Goa,2021,State,All,Emp Type,15332.31,4,99,All,EmpType,NA,NA,NA,3
55432,Goa,2021,State,urban/rural,Emp Type,15332.31,3,1,Urban,EmpType,NA,NA,NA,3
22223,Karnataka,2020,State,urban/rural,Youth,15332.61,5,0,Rural,Youth,NA,1,NA,NA
33188,Arunachal Pradesh,2019,State,urban/rural,CWS Type,15332.61,Total,0,Rural,CWSType,NA,NA,2,NA
1084,Kerala,2018,State,urban/rural,All Households,15333.63,Total,1,Urban,Total,NA,NA,NA,NA
8734,Telangana,2019,State,All,Sex,15333.63,5,99,All,Gender,2,NA,NA,NA
13871,Karnataka,2022,State,urban/rural,Sex,15333.63,2,1,Urban,Gender,1,NA,NA,NA
33144,Haryana,2019,State,urban/rural,CWS Type,15333.63,Total,1,Urban,CWSType,NA,NA,2,NA
36839,Karnataka,2020,State,urban/rural,CWS Type,15333.63,4,1,Urban,CWSType,NA,NA,1,NA
46830,Sikkim,2018,State,All,Emp Type,15333.63,4,99,All,EmpType,NA,NA,NA,2
47913,Sikkim,2018,State,urban/rural,Emp Type,15333.63,5,1,Urban,EmpType,NA,NA,NA,3
48940,Telangana,2019,State,All,Emp Type,15333.63,Total,99,All,EmpType,NA,NA,NA,1
49127,Bihar,2019,State,All,Emp Type,15333.63,5,99,All,EmpType,NA,NA,NA,3
14657,Jharkhand,2023,State,urban/rural,Sex,15336.36,Total,1,Urban,Gender,1,NA,NA,NA
15178,Jharkhand,2023,State,urban/rural,Sex,15336.36,3,1,Urban,Gender,1,NA,NA,NA
10765,Meghalaya,2020,State,urban/rural,Sex,15336.88,4,0,Rural,Gender,1,NA,NA,NA
21065,Meghalaya,2020,State,All,Youth,15336.88,4,99,All,Youth,NA,2,NA,NA
35188,Meghalaya,2020,State,All,CWS Type,15336.88,5,99,All,CWSType,NA,NA,2,NA
36407,Meghalaya,2020,State,urban/rural,CWS Type,15336.88,5,0,Rural,CWSType,NA,NA,2,NA
17384,Daman & Diu,2018,State,All,Youth,15337.48,Total,99,All,Youth,NA,2,NA,NA
14880,Rajasthan,2023,State,urban/rural,Sex,15339.65,4,0,Rural,Gender,1,NA,NA,NA
27076,Gujarat,2023,State,urban/rural,Youth,15339.65,5,0,Rural,Youth,NA,1,NA,NA
58178,Rajasthan,2023,State,All,Emp Type,15339.65,4,99,All,EmpType,NA,NA,NA,2
24662,Manipur,2022,State,urban/rural,Youth,15341.55,Total,1,Urban,Youth,NA,2,NA,NA
44072,Andaman and Nicobar Island,2023,State,urban/rural,CWS Type,15342.11,2,1,Urban,CWSType,NA,NA,1,NA
20527,Goa,2019,State,urban/rural,Youth,15342.21,3,0,Rural,Youth,NA,1,NA,NA
2093,Odisha,2019,State,urban/rural,All Households,15343.82,5,0,Rural,Total,NA,NA,NA,NA
32145,Puducherry,2018,State,urban/rural,CWS Type,15344.23,4,1,Urban,CWSType,NA,NA,1,NA
4014,Gujarat,2022,State,urban/rural,All Households,15344.69,Total,1,Urban,Total,NA,NA,NA,NA
58148,Haryana,2023,State,All,Emp Type,15344.97,5,99,All,EmpType,NA,NA,NA,3
59837,Andhra Pradesh,2023,State,urban/rural,Emp Type,15346.88,3,1,Urban,EmpType,NA,NA,NA,2
1349,Chhattisgarh,2018,State,urban/rural,All Households,15347.1,5,0,Rural,Total,NA,NA,NA,NA
4745,Meghalaya,2023,State,urban/rural,All Households,15349.67,Total,1,Urban,Total,NA,NA,NA,NA
4976,Meghalaya,2023,State,urban/rural,All Households,15349.67,3,1,Urban,Total,NA,NA,NA,NA
41001,Tripura,2022,State,urban/rural,CWS Type,15353.15,3,0,Rural,CWSType,NA,NA,3,NA
19857,Punjab,2019,State,urban/rural,Youth,15354.23,4,0,Rural,Youth,NA,2,NA,NA
32808,Jharkhand,2019,State,All,CWS Type,15354.23,4,99,All,CWSType,NA,NA,3,NA
34027,Assam,2019,State,urban/rural,CWS Type,15354.84,4,1,Urban,CWSType,NA,NA,2,NA
50527,Assam,2019,State,urban/rural,Emp Type,15354.84,5,1,Urban,EmpType,NA,NA,NA,3
21857,Manipur,2020,State,urban/rural,Youth,15356.32,4,0,Rural,Youth,NA,1,NA,NA
26661,Rajasthan,2023,State,urban/rural,Youth,15356.32,5,0,Rural,Youth,NA,1,NA,NA
39872,West Bengal,2022,State,All,CWS Type,15356.32,4,99,All,CWSType,NA,NA,3,NA
51587,Manipur,2020,State,All,Emp Type,15356.32,4,99,All,EmpType,NA,NA,NA,2
32650,Arunachal Pradesh,2019,State,All,CWS Type,15356.39,2,99,All,CWSType,NA,NA,3,NA
