,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
47081,Maharashtra,2018,State,All,Emp Type,7858.51,1,99,All,EmpType,NA,NA,NA,1
47426,Chhattisgarh,2018,State,urban/rural,Emp Type,7858.51,Total,0,Rural,EmpType,NA,NA,NA,2
48270,Chhattisgarh,2018,State,urban/rural,Emp Type,7858.51,3,0,Rural,EmpType,NA,NA,NA,2
49985,Chandigarh,2019,State,urban/rural,Emp Type,7858.51,1,0,Rural,EmpType,NA,NA,NA,1
6017,Delhi,2017,State,urban/rural,Sex,7859,4,0,Rural,Gender,2,NA,NA,NA
26954,West Bengal,2023,State,urban/rural,Youth,7860.89,2,1,Urban,Youth,NA,2,NA,NA
4921,Nagaland,2023,State,urban/rural,All Households,7861.24,2,0,Rural,Total,NA,NA,NA,NA
34692,India,2020,National,urban/rural,CWS Type,7861.24,Total,0,Rural,CWSType,NA,NA,1,NA
4007,Odisha,2022,State,urban/rural,All Households,7861.79,Total,0,Rural,Total,NA,NA,NA,NA
4279,Odisha,2022,State,urban/rural,All Households,7861.79,3,0,Rural,Total,NA,NA,NA,NA
24453,Maharashtra,2022,State,All,Youth,7861.79,2,99,All,Youth,NA,1,NA,NA
24554,Andaman and Nicobar Island,2022,State,All,Youth,7861.79,1,99,All,Youth,NA,1,NA,NA
56367,Telangana,2022,State,All,Emp Type,7861.79,3,99,All,EmpType,NA,NA,NA,3
56634,Puducherry,2022,State,urban/rural,Emp Type,7861.79,Total,0,Rural,EmpType,NA,NA,NA,2
56734,Punjab,2022,State,urban/rural,Emp Type,7861.79,2,0,Rural,EmpType,NA,NA,NA,3
208,Maharashtra,2017,State,All,All Households,7863.97,2,99,All,Total,NA,NA,NA,NA
27541,Maharashtra,2017,State,All,CWS Type,7863.97,Total,99,All,CWSType,NA,NA,1,NA
28057,Maharashtra,2017,State,All,CWS Type,7863.97,3,99,All,CWSType,NA,NA,1,NA
28336,Nagaland,2017,State,urban/rural,CWS Type,7863.97,Total,0,Rural,CWSType,NA,NA,1,NA
4570,Arunachal Pradesh,2023,State,All,All Households,7865.34,2,99,All,Total,NA,NA,NA,NA
37879,Telangana,2021,State,All,CWS Type,7866.71,2,99,All,CWSType,NA,NA,1,NA
798,Odisha,2018,State,All,All Households,7867.86,Total,99,All,Total,NA,NA,NA,NA
18942,Andaman and Nicobar Island,2018,State,urban/rural,Youth,7867.86,1,1,Urban,Youth,NA,1,NA,NA
4944,Mizoram,2023,State,urban/rural,All Households,7868.48,1,0,Rural,Total,NA,NA,NA,NA
15045,Mizoram,2023,State,urban/rural,Sex,7868.48,2,0,Rural,Gender,2,NA,NA,NA
26836,Mizoram,2023,State,urban/rural,Youth,7868.48,1,0,Rural,Youth,NA,2,NA,NA
38414,Rajasthan,2021,State,urban/rural,CWS Type,7868.65,1,1,Urban,CWSType,NA,NA,3,NA
55100,West Bengal,2021,State,urban/rural,Emp Type,7868.65,2,1,Urban,EmpType,NA,NA,NA,1
42086,Bihar,2023,State,All,CWS Type,7869.25,1,99,All,CWSType,NA,NA,3,NA
58571,Kerala,2023,State,All,Emp Type,7869.25,1,99,All,EmpType,NA,NA,NA,1
59074,Uttrakhand,2023,State,urban/rural,Emp Type,7869.25,1,1,Urban,EmpType,NA,NA,NA,1
59970,Kerala,2023,State,urban/rural,Emp Type,7869.25,1,1,Urban,EmpType,NA,NA,NA,1
6350,Odisha,2017,State,urban/rural,Sex,7869.44,3,0,Rural,Gender,1,NA,NA,NA
15654,Odisha,2017,State,All,Youth,7869.44,Total,99,All,Youth,NA,2,NA,NA
15962,Odisha,2017,State,All,Youth,7869.44,3,99,All,Youth,NA,2,NA,NA
28921,Arunachal Pradesh,2017,State,urban/rural,CWS Type,7869.44,1,0,Rural,CWSType,NA,NA,3,NA
10560,Rajasthan,2020,State,urban/rural,Sex,7870.86,3,1,Urban,Gender,2,NA,NA,NA
4441,Telangana,2022,State,urban/rural,All Households,7871.21,1,1,Urban,Total,NA,NA,NA,NA
25272,West Bengal,2022,State,urban/rural,Youth,7871.21,3,1,Urban,Youth,NA,1,NA,NA
39513,Tamil Nadu,2022,State,All,CWS Type,7871.21,Total,99,All,CWSType,NA,NA,1,NA
3310,Madhya Pradesh,2021,State,urban/rural,All Households,7871.79,Total,0,Rural,Total,NA,NA,NA,NA
23604,Assam,2021,State,urban/rural,Youth,7871.79,2,0,Rural,Youth,NA,2,NA,NA
37268,Maharashtra,2021,State,All,CWS Type,7871.79,Total,99,All,CWSType,NA,NA,1,NA
38177,Jammu and Kashmir,2021,State,urban/rural,CWS Type,7871.79,1,0,Rural,CWSType,NA,NA,3,NA
38541,Arunachal Pradesh,2021,State,urban/rural,CWS Type,7871.79,1,0,Rural,CWSType,NA,NA,3,NA
53949,Assam,2021,State,All,Emp Type,7871.79,2,99,All,EmpType,NA,NA,NA,2
21129,Chhattisgarh,2020,State,All,Youth,7871.95,4,99,All,Youth,NA,1,NA,NA
38233,Himachal Pradesh,2021,State,urban/rural,CWS Type,7873.44,1,1,Urban,CWSType,NA,NA,2,NA
34706,India,2020,National,urban/rural,CWS Type,7873.55,3,0,Rural,CWSType,NA,NA,1,NA
935,Odisha,2018,State,All,All Households,7874.92,3,99,All,Total,NA,NA,NA,NA
17366,West Bengal,2018,State,All,Youth,7874.92,Total,99,All,Youth,NA,2,NA,NA
46967,West Bengal,2018,State,All,Emp Type,7874.92,3,99,All,EmpType,NA,NA,NA,2
39570,Punjab,2022,State,All,CWS Type,7875.22,2,99,All,CWSType,NA,NA,1,NA
5035,Chhattisgarh,2023,State,urban/rural,All Households,7875.67,2,1,Urban,Total,NA,NA,NA,NA
9963,Nagaland,2020,State,All,Sex,7876.49,1,99,All,Gender,1,NA,NA,NA
42260,West Bengal,2023,State,All,CWS Type,7877.63,2,99,All,CWSType,NA,NA,3,NA
59952,Kerala,2023,State,urban/rural,Emp Type,7877.67,1,0,Rural,EmpType,NA,NA,NA,1
7547,Rajasthan,2018,State,urban/rural,Sex,7879.03,1,1,Urban,Gender,1,NA,NA,NA
19162,Punjab,2019,State,All,Youth,7879.03,2,99,All,Youth,NA,1,NA,NA
19865,Punjab,2019,State,urban/rural,Youth,7879.03,2,1,Urban,Youth,NA,1,NA,NA
305,Jharkhand,2017,State,urban/rural,All Households,7880.41,Total,0,Rural,Total,NA,NA,NA,NA
7969,Maharashtra,2018,State,urban/rural,Sex,7880.41,2,0,Rural,Gender,1,NA,NA,NA
11941,Haryana,2021,State,urban/rural,Sex,7880.41,4,0,Rural,Gender,2,NA,NA,NA
12203,Meghalaya,2021,State,urban/rural,Sex,7880.41,4,0,Rural,Gender,2,NA,NA,NA
23471,Nagaland,2021,State,urban/rural,Youth,7880.41,1,0,Rural,Youth,NA,1,NA,NA
23551,Tripura,2021,State,urban/rural,Youth,7880.41,2,0,Rural,Youth,NA,1,NA,NA
23843,Karnataka,2021,State,urban/rural,Youth,7880.41,2,0,Rural,Youth,NA,1,NA,NA
38693,Tripura,2021,State,urban/rural,CWS Type,7880.41,2,0,Rural,CWSType,NA,NA,1,NA
41035,Meghalaya,2022,State,urban/rural,CWS Type,7880.41,2,0,Rural,CWSType,NA,NA,2,NA
45886,Jharkhand,2017,State,urban/rural,Emp Type,7880.41,3,0,Rural,EmpType,NA,NA,NA,2
54427,Karnataka,2021,State,urban/rural,Emp Type,7880.41,Total,0,Rural,EmpType,NA,NA,NA,3
55380,Karnataka,2021,State,urban/rural,Emp Type,7880.41,3,0,Rural,EmpType,NA,NA,NA,3
57208,Meghalaya,2022,State,urban/rural,Emp Type,7880.41,2,0,Rural,EmpType,NA,NA,NA,3
41548,Kerala,2022,State,urban/rural,CWS Type,7881.32,1,1,Urban,CWSType,NA,NA,3,NA
39768,Manipur,2022,State,All,CWS Type,7881.79,1,99,All,CWSType,NA,NA,3,NA
21969,Assam,2020,State,urban/rural,Youth,7883.02,1,1,Urban,Youth,NA,2,NA,NA
52852,Assam,2020,State,urban/rural,Emp Type,7883.02,1,1,Urban,EmpType,NA,NA,NA,2
13163,Assam,2022,State,urban/rural,Sex,7884.62,Total,1,Urban,Gender,2,NA,NA,NA
13654,Assam,2022,State,urban/rural,Sex,7884.62,3,1,Urban,Gender,2,NA,NA,NA
9428,Gujarat,2019,State,urban/rural,Sex,7885.91,2,0,Rural,Gender,1,NA,NA,NA
9433,Gujarat,2019,State,urban/rural,Sex,7885.91,4,0,Rural,Gender,2,NA,NA,NA
16364,Jammu and Kashmir,2017,State,urban/rural,Youth,7885.91,2,0,Rural,Youth,NA,1,NA,NA
17655,West Bengal,2018,State,All,Youth,7885.91,3,99,All,Youth,NA,2,NA,NA
18021,Maharashtra,2018,State,urban/rural,Youth,7885.91,Total,0,Rural,Youth,NA,1,NA,NA
18729,Maharashtra,2018,State,urban/rural,Youth,7885.91,3,0,Rural,Youth,NA,1,NA,NA
19852,Punjab,2019,State,urban/rural,Youth,7885.91,2,0,Rural,Youth,NA,1,NA,NA
30815,West Bengal,2018,State,urban/rural,CWS Type,7885.91,Total,0,Rural,CWSType,NA,NA,3,NA
31608,West Bengal,2018,State,urban/rural,CWS Type,7885.91,3,0,Rural,CWSType,NA,NA,3,NA
46610,Karnataka,2018,State,All,Emp Type,7885.91,Total,99,All,EmpType,NA,NA,NA,3
47049,Gujarat,2018,State,All,Emp Type,7885.91,1,99,All,EmpType,NA,NA,NA,1
47127,Karnataka,2018,State,All,Emp Type,7885.91,3,99,All,EmpType,NA,NA,NA,3
47355,Nagaland,2018,State,urban/rural,Emp Type,7888.11,Total,0,Rural,EmpType,NA,NA,NA,3
47958,Nagaland,2018,State,urban/rural,Emp Type,7888.11,3,0,Rural,EmpType,NA,NA,NA,3
58001,Gujarat,2023,State,All,Emp Type,7888.96,Total,99,All,EmpType,NA,NA,NA,3
58455,Gujarat,2023,State,All,Emp Type,7888.96,3,99,All,EmpType,NA,NA,NA,3
54655,Haryana,2021,State,urban/rural,Emp Type,7889.99,1,1,Urban,EmpType,NA,NA,NA,1
41829,Nagaland,2023,State,All,CWS Type,7890.03,Total,99,All,CWSType,NA,NA,1,NA
42147,Nagaland,2023,State,All,CWS Type,7890.03,3,99,All,CWSType,NA,NA,1,NA
41567,Tamil Nadu,2022,State,urban/rural,CWS Type,7890.16,1,0,Rural,CWSType,NA,NA,3,NA
567,Jharkhand,2017,State,urban/rural,All Households,7891.41,3,0,Rural,Total,NA,NA,NA,NA
5543,Jharkhand,2017,State,All,Sex,7891.41,4,99,All,Gender,2,NA,NA,NA
49583,Telangana,2019,State,All,Emp Type,7891.41,3,99,All,EmpType,NA,NA,NA,3
51106,Telangana,2019,State,urban/rural,Emp Type,7891.41,1,0,Rural,EmpType,NA,NA,NA,1
50878,Karnataka,2019,State,urban/rural,Emp Type,7891.52,1,1,Urban,EmpType,NA,NA,NA,1
9826,Jammu and Kashmir,2020,State,All,Sex,7892.63,4,99,All,Gender,2,NA,NA,NA
5047,Madhya Pradesh,2023,State,urban/rural,All Households,7894.43,2,1,Urban,Total,NA,NA,NA,NA
43252,Arunachal Pradesh,2023,State,urban/rural,CWS Type,7894.43,1,1,Urban,CWSType,NA,NA,3,NA
16633,Sikkim,2017,State,urban/rural,Youth,7895.84,1,1,Urban,Youth,NA,1,NA,NA
18006,Madhya Pradesh,2018,State,urban/rural,Youth,7895.84,Total,1,Urban,Youth,NA,1,NA,NA
18664,Madhya Pradesh,2018,State,urban/rural,Youth,7895.84,3,1,Urban,Youth,NA,1,NA,NA
15214,Chhattisgarh,2023,State,urban/rural,Sex,7896.34,3,0,Rural,Gender,1,NA,NA,NA
797,Jharkhand,2018,State,All,All Households,7896.92,Total,99,All,Total,NA,NA,NA,NA
929,Jharkhand,2018,State,All,All Households,7896.92,3,99,All,Total,NA,NA,NA,NA
6466,Maharashtra,2017,State,urban/rural,Sex,7896.92,2,0,Rural,Gender,1,NA,NA,NA
17667,Jharkhand,2018,State,All,Youth,7896.92,3,99,All,Youth,NA,1,NA,NA
30373,Jharkhand,2018,State,All,CWS Type,7896.92,2,99,All,CWSType,NA,NA,3,NA
32610,Bihar,2019,State,All,CWS Type,7896.92,2,99,All,CWSType,NA,NA,1,NA
33705,Bihar,2019,State,urban/rural,CWS Type,7896.92,2,0,Rural,CWSType,NA,NA,1,NA
2311,Chhattisgarh,2020,State,All,All Households,7898.97,Total,99,All,Total,NA,NA,NA,NA
3179,Assam,2021,State,All,All Households,7900.07,2,99,All,Total,NA,NA,NA,NA
3228,Andhra Pradesh,2021,State,All,All Households,7900.07,2,99,All,Total,NA,NA,NA,NA
3507,Tripura,2021,State,urban/rural,All Households,7900.07,2,0,Rural,Total,NA,NA,NA,NA
11298,Chhattisgarh,2021,State,All,Sex,7900.07,Total,99,All,Gender,1,NA,NA,NA
11741,Arunachal Pradesh,2021,State,urban/rural,Sex,7900.07,Total,0,Rural,Gender,2,NA,NA,NA
12081,Arunachal Pradesh,2021,State,urban/rural,Sex,7900.07,3,0,Rural,Gender,2,NA,NA,NA
12129,Manipur,2021,State,urban/rural,Sex,7900.07,3,0,Rural,Gender,2,NA,NA,NA
22873,Maharashtra,2021,State,All,Youth,7900.07,2,99,All,Youth,NA,2,NA,NA
22886,Andhra Pradesh,2021,State,All,Youth,7900.07,2,99,All,Youth,NA,2,NA,NA
23759,Gujarat,2021,State,urban/rural,Youth,7900.07,2,0,Rural,Youth,NA,1,NA,NA
37236,Assam,2021,State,All,CWS Type,7900.07,Total,99,All,CWSType,NA,NA,1,NA
37620,Assam,2021,State,All,CWS Type,7900.07,3,99,All,CWSType,NA,NA,1,NA
38031,Assam,2021,State,urban/rural,CWS Type,7900.07,Total,0,Rural,CWSType,NA,NA,1,NA
38071,Madhya Pradesh,2021,State,urban/rural,CWS Type,7900.07,Total,0,Rural,CWSType,NA,NA,1,NA
38614,Manipur,2021,State,urban/rural,CWS Type,7900.07,1,0,Rural,CWSType,NA,NA,1,NA
38771,Assam,2021,State,urban/rural,CWS Type,7900.07,3,0,Rural,CWSType,NA,NA,1,NA
38961,Madhya Pradesh,2021,State,urban/rural,CWS Type,7900.07,3,0,Rural,CWSType,NA,NA,1,NA
39081,Andhra Pradesh,2021,State,urban/rural,CWS Type,7900.07,2,0,Rural,CWSType,NA,NA,2,NA
10001,Tripura,2020,State,All,Sex,7901.34,2,99,All,Gender,1,NA,NA,NA
35161,Tripura,2020,State,All,CWS Type,7901.34,2,99,All,CWSType,NA,NA,3,NA
57992,Chhattisgarh,2023,State,All,Emp Type,7901.34,Total,99,All,EmpType,NA,NA,NA,2
40647,Haryana,2022,State,urban/rural,CWS Type,7901.46,1,1,Urban,CWSType,NA,NA,3,NA
45586,Sikkim,2017,State,urban/rural,Emp Type,7901.46,1,1,Urban,EmpType,NA,NA,NA,1
12757,Delhi,2022,State,All,Sex,7902.26,2,99,All,Gender,2,NA,NA,NA
13388,Delhi,2022,State,urban/rural,Sex,7902.26,2,1,Urban,Gender,2,NA,NA,NA
4625,Odisha,2023,State,All,All Households,7902.44,3,99,All,Total,NA,NA,NA,NA
8485,Mizoram,2019,State,All,Sex,7902.44,1,99,All,Gender,1,NA,NA,NA
9213,Mizoram,2019,State,urban/rural,Sex,7902.44,2,0,Rural,Gender,2,NA,NA,NA
16267,Jharkhand,2017,State,urban/rural,Youth,7902.44,Total,0,Rural,Youth,NA,2,NA,NA
16858,Jharkhand,2017,State,urban/rural,Youth,7902.44,3,0,Rural,Youth,NA,2,NA,NA
19107,Andhra Pradesh,2019,State,All,Youth,7902.44,Total,99,All,Youth,NA,1,NA,NA
19149,Himachal Pradesh,2019,State,All,Youth,7902.44,2,99,All,Youth,NA,1,NA,NA
19476,Andhra Pradesh,2019,State,All,Youth,7902.44,3,99,All,Youth,NA,1,NA,NA
27942,Jharkhand,2017,State,All,CWS Type,7902.44,2,99,All,CWSType,NA,NA,3,NA
44865,Kerala,2017,State,All,Emp Type,7902.44,2,99,All,EmpType,NA,NA,NA,3
48405,Maharashtra,2018,State,urban/rural,Emp Type,7902.44,4,0,Rural,EmpType,NA,NA,NA,3
59331,Nagaland,2023,State,urban/rural,Emp Type,7902.44,1,0,Rural,EmpType,NA,NA,NA,1
13872,Karnataka,2022,State,urban/rural,Sex,7902.58,2,1,Urban,Gender,2,NA,NA,NA
51816,Andhra Pradesh,2020,State,All,Emp Type,7904.97,3,99,All,EmpType,NA,NA,NA,3
12730,Uttrakhand,2022,State,All,Sex,7905.75,1,99,All,Gender,1,NA,NA,NA
40099,Tamil Nadu,2022,State,All,CWS Type,7905.75,3,99,All,CWSType,NA,NA,1,NA
21397,Tripura,2020,State,urban/rural,Youth,7907.09,Total,1,Urban,Youth,NA,1,NA,NA
46433,India,2018,National,All,Emp Type,7907.09,Total,99,All,EmpType,NA,NA,NA,3
46443,India,2018,National,All,Emp Type,7907.56,3,99,All,EmpType,NA,NA,NA,3
6490,Andhra Pradesh,2017,State,urban/rural,Sex,7907.97,2,0,Rural,Gender,1,NA,NA,NA
8133,Puducherry,2018,State,urban/rural,Sex,7907.97,1,0,Rural,Gender,1,NA,NA,NA
17369,Jharkhand,2018,State,All,Youth,7907.97,Total,99,All,Youth,NA,2,NA,NA
17668,Jharkhand,2018,State,All,Youth,7907.97,3,99,All,Youth,NA,2,NA,NA
28386,West Bengal,2017,State,urban/rural,CWS Type,7907.97,Total,0,Rural,CWSType,NA,NA,3,NA
29187,West Bengal,2017,State,urban/rural,CWS Type,7907.97,3,0,Rural,CWSType,NA,NA,3,NA
48636,Puducherry,2018,State,urban/rural,Emp Type,7907.97,2,0,Rural,EmpType,NA,NA,NA,2
35567,Uttrakhand,2020,State,urban/rural,CWS Type,7908.82,Total,0,Rural,CWSType,NA,NA,1,NA
51632,Meghalaya,2020,State,All,Emp Type,7908.82,2,99,All,EmpType,NA,NA,NA,1
10319,Odisha,2020,State,urban/rural,Sex,7909.55,Total,0,Rural,Gender,1,NA,NA,NA
10859,Odisha,2020,State,urban/rural,Sex,7909.55,3,0,Rural,Gender,1,NA,NA,NA
20806,Odisha,2020,State,All,Youth,7909.55,Total,99,All,Youth,NA,2,NA,NA
21115,Odisha,2020,State,All,Youth,7909.55,3,99,All,Youth,NA,2,NA,NA
36551,Odisha,2020,State,urban/rural,CWS Type,7909.55,2,0,Rural,CWSType,NA,NA,3,NA
51289,Odisha,2020,State,All,Emp Type,7909.55,Total,99,All,EmpType,NA,NA,NA,2
43799,Andhra Pradesh,2023,State,urban/rural,CWS Type,7910.66,2,0,Rural,CWSType,NA,NA,2,NA
52889,West Bengal,2020,State,urban/rural,Emp Type,7911.92,2,1,Urban,EmpType,NA,NA,NA,1
42758,Gujarat,2023,State,urban/rural,CWS Type,7912.61,Total,0,Rural,CWSType,NA,NA,1,NA
1243,Nagaland,2018,State,urban/rural,All Households,7912.72,1,1,Urban,Total,NA,NA,NA,NA
6524,Karnataka,2017,State,urban/rural,Sex,7912.72,1,1,Urban,Gender,1,NA,NA,NA
7667,Nagaland,2018,State,urban/rural,Sex,7912.72,1,1,Urban,Gender,1,NA,NA,NA
28903,Sikkim,2017,State,urban/rural,CWS Type,7912.72,1,1,Urban,CWSType,NA,NA,3,NA
5804,Jharkhand,2017,State,urban/rural,Sex,7913.5,Total,0,Rural,Gender,1,NA,NA,NA
6326,Jharkhand,2017,State,urban/rural,Sex,7913.5,3,0,Rural,Gender,1,NA,NA,NA
44268,Jharkhand,2017,State,All,Emp Type,7913.5,Total,99,All,EmpType,NA,NA,NA,2
48737,India,2019,National,All,Emp Type,7913.69,Total,99,All,EmpType,NA,NA,NA,3
51780,Daman & Diu,2020,State,All,Emp Type,7913.85,3,99,All,EmpType,NA,NA,NA,3
32380,Odisha,2019,State,All,CWS Type,7913.87,Total,99,All,CWSType,NA,NA,2,NA
21698,Rajasthan,2020,State,urban/rural,Youth,7913.93,2,0,Rural,Youth,NA,2,NA,NA
11572,Chhattisgarh,2021,State,All,Sex,7914.29,3,99,All,Gender,1,NA,NA,NA
12371,Gujarat,2021,State,urban/rural,Sex,7914.29,4,0,Rural,Gender,2,NA,NA,NA
12488,Lakshadweep,2021,State,urban/rural,Sex,7914.29,1,0,Rural,Gender,1,NA,NA,NA
23419,Sikkim,2021,State,urban/rural,Youth,7914.29,1,0,Rural,Youth,NA,1,NA,NA
39189,Lakshadweep,2021,State,urban/rural,CWS Type,7914.29,2,0,Rural,CWSType,NA,NA,1,NA
55372,Karnataka,2021,State,urban/rural,Emp Type,7914.29,1,0,Rural,EmpType,NA,NA,NA,1
26384,West Bengal,2023,State,urban/rural,Youth,7914.89,Total,0,Rural,Youth,NA,2,NA,NA
26943,West Bengal,2023,State,urban/rural,Youth,7914.89,3,0,Rural,Youth,NA,2,NA,NA
57980,West Bengal,2023,State,All,Emp Type,7914.89,Total,99,All,EmpType,NA,NA,NA,2
58239,Arunachal Pradesh,2023,State,All,Emp Type,7914.89,1,99,All,EmpType,NA,NA,NA,1
34669,India,2020,National,All,CWS Type,7916.6,Total,99,All,CWSType,NA,NA,1,NA
1708,Gujarat,2019,State,All,All Households,7918.37,2,99,All,Total,NA,NA,NA,NA
46174,Karnataka,2017,State,urban/rural,Emp Type,7918.37,1,1,Urban,EmpType,NA,NA,NA,1
48747,India,2019,National,All,Emp Type,7918.37,3,99,All,EmpType,NA,NA,NA,3
26035,Meghalaya,2023,State,All,Youth,7918.86,2,99,All,Youth,NA,2,NA,NA
26371,Meghalaya,2023,State,urban/rural,Youth,7918.86,Total,0,Rural,Youth,NA,1,NA,NA
26890,Meghalaya,2023,State,urban/rural,Youth,7918.86,3,0,Rural,Youth,NA,1,NA,NA
42221,Meghalaya,2023,State,All,CWS Type,7918.86,2,99,All,CWSType,NA,NA,2,NA
43423,Meghalaya,2023,State,urban/rural,CWS Type,7918.86,2,0,Rural,CWSType,NA,NA,2,NA
58329,Meghalaya,2023,State,All,Emp Type,7918.86,2,99,All,EmpType,NA,NA,NA,3
59472,Meghalaya,2023,State,urban/rural,Emp Type,7918.86,2,0,Rural,EmpType,NA,NA,NA,3
19436,Gujarat,2019,State,All,Youth,7919.04,2,99,All,Youth,NA,2,NA,NA
22335,Puducherry,2020,State,urban/rural,Youth,7919.04,1,0,Rural,Youth,NA,1,NA,NA
26006,Mizoram,2023,State,All,Youth,7919.04,1,99,All,Youth,NA,1,NA,NA
32391,Gujarat,2019,State,All,CWS Type,7919.04,Total,99,All,CWSType,NA,NA,1,NA
32879,Gujarat,2019,State,All,CWS Type,7919.04,3,99,All,CWSType,NA,NA,1,NA
33283,Gujarat,2019,State,urban/rural,CWS Type,7919.04,Total,0,Rural,CWSType,NA,NA,1,NA
34232,Gujarat,2019,State,urban/rural,CWS Type,7919.04,3,0,Rural,CWSType,NA,NA,1,NA
35961,Uttrakhand,2020,State,urban/rural,CWS Type,7919.04,3,0,Rural,CWSType,NA,NA,1,NA
43345,Mizoram,2023,State,urban/rural,CWS Type,7919.04,1,0,Rural,CWSType,NA,NA,2,NA
50646,Chhattisgarh,2019,State,urban/rural,Emp Type,7919.04,2,0,Rural,EmpType,NA,NA,NA,1
51914,Puducherry,2020,State,All,Emp Type,7919.04,1,99,All,EmpType,NA,NA,NA,1
22204,Andhra Pradesh,2020,State,urban/rural,Youth,7921.59,2,1,Urban,Youth,NA,1,NA,NA
244,Tamil Nadu,2017,State,All,All Households,7924.02,2,99,All,Total,NA,NA,NA,NA
18323,Bihar,2018,State,urban/rural,Youth,7924.02,1,1,Urban,Youth,NA,1,NA,NA
19914,Uttrakhand,2019,State,urban/rural,Youth,7924.02,1,1,Urban,Youth,NA,2,NA,NA
20172,Mizoram,2019,State,urban/rural,Youth,7924.02,1,1,Urban,Youth,NA,1,NA,NA
32514,Uttrakhand,2019,State,All,CWS Type,7924.02,1,99,All,CWSType,NA,NA,2,NA
43518,West Bengal,2023,State,urban/rural,CWS Type,7924.02,2,1,Urban,CWSType,NA,NA,3,NA
59556,West Bengal,2023,State,urban/rural,Emp Type,7924.02,2,1,Urban,EmpType,NA,NA,NA,1
49152,Arunachal Pradesh,2019,State,All,Emp Type,7924.05,1,99,All,EmpType,NA,NA,NA,3
50277,Arunachal Pradesh,2019,State,urban/rural,Emp Type,7924.05,1,0,Rural,EmpType,NA,NA,NA,3
7590,Bihar,2018,State,urban/rural,Sex,7924.59,4,0,Rural,Gender,2,NA,NA,NA
16302,Maharashtra,2017,State,urban/rural,Youth,7924.59,Total,0,Rural,Youth,NA,1,NA,NA
17012,Maharashtra,2017,State,urban/rural,Youth,7924.59,3,0,Rural,Youth,NA,1,NA,NA
27961,Odisha,2017,State,All,CWS Type,7924.59,2,99,All,CWSType,NA,NA,3,NA
44673,Jharkhand,2017,State,All,Emp Type,7924.59,3,99,All,EmpType,NA,NA,NA,2
45926,Odisha,2017,State,urban/rural,Emp Type,7924.59,4,0,Rural,EmpType,NA,NA,NA,3
46097,Maharashtra,2017,State,urban/rural,Emp Type,7924.59,4,0,Rural,EmpType,NA,NA,NA,3
51900,Tamil Nadu,2020,State,All,Emp Type,7926.44,2,99,All,EmpType,NA,NA,NA,2
56342,Andaman and Nicobar Island,2022,State,All,Emp Type,7927.37,1,99,All,EmpType,NA,NA,NA,2
58519,Karnataka,2023,State,All,Emp Type,7927.37,1,99,All,EmpType,NA,NA,NA,1
14427,Madhya Pradesh,2023,State,All,Sex,7927.68,2,99,All,Gender,1,NA,NA,NA
51777,Daman & Diu,2020,State,All,Emp Type,7927.93,2,99,All,EmpType,NA,NA,NA,2
53098,Daman & Diu,2020,State,urban/rural,Emp Type,7927.93,1,1,Urban,EmpType,NA,NA,NA,2
14650,Assam,2023,State,urban/rural,Sex,7928.26,Total,1,Urban,Gender,2,NA,NA,NA
14886,Rajasthan,2023,State,urban/rural,Sex,7928.26,1,1,Urban,Gender,1,NA,NA,NA
25917,Rajasthan,2023,State,All,Youth,7928.26,2,99,All,Youth,NA,1,NA,NA
26668,Rajasthan,2023,State,urban/rural,Youth,7928.26,2,1,Urban,Youth,NA,1,NA,NA
3222,Maharashtra,2021,State,All,All Households,7928.56,2,99,All,Total,NA,NA,NA,NA
3592,Madhya Pradesh,2021,State,urban/rural,All Households,7928.56,3,0,Rural,Total,NA,NA,NA,NA
11281,Nagaland,2021,State,All,Sex,7928.56,Total,99,All,Gender,2,NA,NA,NA
11465,Nagaland,2021,State,All,Sex,7928.56,3,99,All,Gender,2,NA,NA,NA
12423,Andhra Pradesh,2021,State,urban/rural,Sex,7928.56,4,0,Rural,Gender,2,NA,NA,NA
23552,Tripura,2021,State,urban/rural,Youth,7928.56,2,0,Rural,Youth,NA,2,NA,NA
37256,Madhya Pradesh,2021,State,All,CWS Type,7928.56,Total,99,All,CWSType,NA,NA,1,NA
37715,Madhya Pradesh,2021,State,All,CWS Type,7928.56,3,99,All,CWSType,NA,NA,1,NA
54111,Karnataka,2021,State,All,Emp Type,7928.56,1,99,All,EmpType,NA,NA,NA,1
39827,Meghalaya,2022,State,All,CWS Type,7928.76,2,99,All,CWSType,NA,NA,2,NA
56058,Meghalaya,2022,State,All,Emp Type,7928.76,2,99,All,EmpType,NA,NA,NA,3
1553,Jharkhand,2019,State,All,All Households,7929.41,Total,99,All,Total,NA,NA,NA,NA
1685,Jharkhand,2019,State,All,All Households,7929.41,3,99,All,Total,NA,NA,NA,NA
8003,Andhra Pradesh,2018,State,urban/rural,Sex,7929.68,1,1,Urban,Gender,1,NA,NA,NA
15648,West Bengal,2017,State,All,Youth,7930.15,Total,99,All,Youth,NA,2,NA,NA
15936,West Bengal,2017,State,All,Youth,7930.15,3,99,All,Youth,NA,2,NA,NA
33558,Haryana,2019,State,urban/rural,CWS Type,7930.15,1,0,Rural,CWSType,NA,NA,2,NA
