statenumber,state,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,type,sector,level,area,year,dem,yr
20,Jharkhand,0.568713069,0.561259091,0.2527574,0.013106771,0.277189672,0.377378017,0.000734502,State+Urban+All,0,state,urban/rural,2023,All,2023
20,Jharkhand,0.540643215,0.52811873,0.226570636,0.023165988,0.278074771,0.3382999,0.00757798,State+AllSectors+All,99,state,All,2023,All,2023
29,Karnataka,0.51067394,0.486874551,0.045683905,0.046603858,0.243029267,0.275690585,0.047220897,State+Urban+All,1,state,urban/rural,2023,All,2023
29,Karnataka,0.570050299,0.553620636,0.191512316,0.028821388,0.248062477,0.374250948,0.02518088,State+Urban+All,0,state,urban/rural,2022,All,2022
29,Karnataka,0.549127102,0.53002876,0.141926587,0.034779441,0.245587632,0.343932509,0.033526734,State+AllSectors+All,99,state,All,2022,All,2022
29,Karnataka,0.513692498,0.490074575,0.047061499,0.045976758,0.241757259,0.29134354,0.052122571,State+Urban+All,1,state,urban/rural,2022,All,2022
29,Karnataka,0.551109195,0.534171879,0.150530577,0.030733071,0.243951082,0.354856253,0.022717787,State+AllSectors+All,99,state,All,2023,All,2023
29,Karnataka,0.57575959,0.563005686,0.205804899,0.022151528,0.24458608,0.402338833,0.012647348,State+Urban+All,0,state,urban/rural,2023,All,2023
32,Kerala,0.492606878,0.44460538,0.033183947,0.097443797,0.232500538,0.314008415,0.143936276,State+Urban+All,1,state,urban/rural,2023,All,2023
32,Kerala,0.508893549,0.458374679,0.04151503,0.099271975,0.281625837,0.335065246,0.145855322,State+AllSectors+All,99,state,All,2023,All,2023
32,Kerala,0.523710191,0.470901161,0.048670925,0.100836374,0.326643258,0.354480565,0.147422746,State+Urban+All,0,state,urban/rural,2023,All,2023
32,Kerala,0.524557948,0.471315593,0.061318226,0.101499446,0.302675277,0.346001029,0.134119928,State+Urban+All,0,state,urban/rural,2022,All,2022
32,Kerala,0.501169205,0.449248344,0.048129525,0.103599437,0.290631831,0.319111317,0.141210586,State+AllSectors+All,99,state,All,2022,All,2022
32,Kerala,0.474247932,0.423848182,0.031248789,0.106273025,0.277410507,0.287511706,0.151238382,State+Urban+All,1,state,urban/rural,2022,All,2022
31,Lakshadweep,0.3860434,0.329874516,0.060359262,0.145498827,0.531505704,0.153640673,0.16216442,State+AllSectors+All,99,state,All,2022,All,2022
31,Lakshadweep,0.445991516,0.35610047,0.016200854,0.20155327,0.463149905,0.153031424,0.357038826,State+Urban+All,1,state,urban/rural,2023,All,2023
31,Lakshadweep,0.563262224,0.480066299,0.010486669,0.147703722,0.380329669,0.186664611,0.53611207,State+Urban+All,0,state,urban/rural,2023,All,2023
31,Lakshadweep,0.374429405,0.319137871,0.039127909,0.147668719,0.49644655,0.164938629,0.153239444,State+Urban+All,1,state,urban/rural,2022,All,2022
31,Lakshadweep,0.426641732,0.367405981,0.124826133,0.138841957,0.64916575,0.112930477,0.209134549,State+Urban+All,0,state,urban/rural,2022,All,2022
31,Lakshadweep,0.479834616,0.391875714,0.014180684,0.183310881,0.438872188,0.161872566,0.411321342,State+AllSectors+All,99,state,All,2023,All,2023
23,Madhya Pradesh,0.648639143,0.634649575,0.314786345,0.021567548,0.274732232,0.443824202,0.02479808,State+Urban+All,0,state,urban/rural,2023,All,2023
