,sector,sector_type,year,state,sex1_female,sex1_male,youth,working_age,working_age_female,working_age_male,age_cohort_1,age_cohort_2,age_cohort_3,age_cohort_4,age_cohort_female_1,age_cohort_female_2,age_cohort_female_3,age_cohort_female_4,age_cohort_male_1,age_cohort_male_2,age_cohort_male_3,age_cohort_male_4
93,1,Urban,2023,Karnataka,0.489996582,0.510003418,0.272459596,0.812878013,0.818696558,0.807287693,0.335178941,0.310087353,0.260642916,0.094090782,0.322444946,0.301307887,0.271428466,0.104818687,0.347586304,0.318641633,0.250134021,0.083638065
138,99,All,2022,Karnataka,0.490769237,0.509230763,0.27116552,0.789592266,0.794895947,0.78448087,0.343424737,0.287325799,0.275281131,0.093968362,0.32609719,0.29169938,0.283206642,0.098996788,0.360345811,0.283054799,0.267541498,0.089057885
200,0,Rural,2022,Karnataka,0.495391786,0.504608214,0.258050948,0.777689457,0.782473803,0.772992432,0.331817478,0.280699819,0.284368813,0.103113912,0.308880478,0.290524304,0.293152094,0.107443109,0.354611725,0.270936459,0.27564019,0.098811656
201,1,Urban,2022,Karnataka,0.482609391,0.517390609,0.294315785,0.810603499,0.817404628,0.804259598,0.36308229,0.298547238,0.259890616,0.078479841,0.355960429,0.29373759,0.265955776,0.08434619,0.369833976,0.303106874,0.254140705,0.07291843
246,99,All,2021,Karnataka,0.497771055,0.502228945,0.254383087,0.786596835,0.781199574,0.791946173,0.32339704,0.302404493,0.270232022,0.103966437,0.320606202,0.299661517,0.272294998,0.107437275,0.326125562,0.305086225,0.26821512,0.100573085
308,0,Rural,2021,Karnataka,0.498396635,0.501603365,0.245823741,0.78183955,0.776436269,0.787208319,0.314417124,0.296812534,0.281222045,0.107548289,0.312226087,0.294929922,0.284457058,0.108386941,0.316564351,0.298657507,0.278051734,0.106726408
309,1,Urban,2021,Karnataka,0.49664396,0.50335604,0.26980409,0.795167804,0.78981173,0.800452411,0.339304596,0.312310457,0.250763625,0.097621314,0.335500985,0.308071494,0.250678182,0.105749346,0.343007594,0.316437304,0.250846833,0.089708276
354,99,All,2020,Karnataka,0.496535748,0.503464252,0.259637177,0.786038458,0.803357601,0.768957675,0.33031103,0.298419625,0.277598023,0.093671337,0.326964676,0.290549517,0.284493804,0.097992003,0.33375895,0.306528628,0.270492911,0.089219511
416,0,Rural,2020,Karnataka,0.49674806,0.50325194,0.256827325,0.777333677,0.798502088,0.756438792,0.330395222,0.287614793,0.286448121,0.095541872,0.326891452,0.278296918,0.292425841,0.102385782,0.334046006,0.297323674,0.280219555,0.088410757
417,1,Urban,2020,Karnataka,0.496175498,0.503824502,0.264404774,0.80080837,0.811605692,0.790174961,0.33017236,0.316215366,0.263021737,0.090590529,0.327087015,0.311027169,0.271237105,0.090648718,0.333293259,0.321463376,0.254711658,0.090531677
462,99,All,2019,Karnataka,0.500264823,0.499735177,0.259966582,0.782816529,0.786237717,0.779391766,0.332091302,0.297555268,0.275674015,0.0946794,0.325067669,0.297995389,0.280624181,0.096312769,0.339184165,0.297110796,0.270675093,0.093029939
524,0,Rural,2019,Karnataka,0.501065373,0.498934627,0.259521037,0.774138629,0.778604925,0.769653261,0.335238457,0.271069407,0.28677538,0.106916763,0.323035508,0.271033704,0.298445404,0.107485391,0.347636014,0.271105677,0.274919242,0.10633906
525,1,Urban,2019,Karnataka,0.499098569,0.500901431,0.260615677,0.795459151,0.797401547,0.793523729,0.327629268,0.335107386,0.259934306,0.077329047,0.327969879,0.336500168,0.255173147,0.080356799,0.32728821,0.333712846,0.264701515,0.074297443
570,99,All,2018,Karnataka,0.483352214,0.516647786,0.255020499,0.778703511,0.790043294,0.76809448,0.327493727,0.306656152,0.267237097,0.098613024,0.316001117,0.308264732,0.277050108,0.09868405,0.338552952,0.305108249,0.257794142,0.09854468
632,0,Rural,2018,Karnataka,0.484609932,0.515390068,0.242490813,0.781995654,0.794913054,0.769849777,0.31009227,0.292957932,0.289916992,0.107032798,0.295271277,0.2973997,0.300713688,0.10661532,0.324481815,0.288645476,0.279434562,0.107438125
633,1,Urban,2018,Karnataka,0.481343776,0.518656224,0.275029212,0.773446202,0.782214046,0.765309155,0.35558933,0.328772634,0.230619192,0.085018843,0.349870354,0.326016396,0.238387629,0.085725635,0.361014128,0.331387073,0.223250374,0.084348418
678,99,All,2017,Karnataka,0.500683427,0.499316573,0.267427802,0.774981856,0.78329885,0.766642094,0.345076233,0.301299572,0.265871167,0.087753043,0.337566495,0.308091223,0.258008361,0.096333943,0.35277012,0.294341356,0.273926824,0.078961708
740,0,Rural,2017,Karnataka,0.499736041,0.500263959,0.250092447,0.766492069,0.776203454,0.756790996,0.326281846,0.302058905,0.279346257,0.092312999,0.313033879,0.310577244,0.273828208,0.102560677,0.339855283,0.293331265,0.284999907,0.081813551
741,1,Urban,2017,Karnataka,0.502168357,0.497831643,0.294599444,0.788288832,0.794366419,0.782158315,0.373720169,0.300142288,0.245334178,0.08080335,0.374957949,0.304302126,0.233896479,0.086843446,0.37245214,0.295880735,0.257051617,0.074615546
34,99,All,2023,Kerala,0.532251239,0.467748761,0.191356838,0.806393325,0.818683982,0.792407811,0.237299621,0.242025569,0.344184399,0.176490411,0.223020002,0.251799613,0.341873348,0.183307037,0.25408721,0.230534896,0.346901327,0.168476552
98,0,Rural,2023,Kerala,0.528413117,0.471586883,0.190622374,0.806090593,0.819043815,0.791576564,0.236477599,0.239956766,0.347244531,0.176321104,0.220770359,0.251049668,0.347111285,0.181068674,0.254688263,0.227095842,0.347399026,0.170816854
99,1,Urban,2023,Kerala,0.536473513,0.463526487,0.192164809,0.806726396,0.818294108,0.79333818,0.238203213,0.244299635,0.34082064,0.176676512,0.225459844,0.252612948,0.336192578,0.185734645,0.253416002,0.234375358,0.346345544,0.165863082
141,99,All,2022,Kerala,0.524009287,0.475990713,0.207185656,0.815135002,0.8333956,0.795032203,0.254173428,0.23527284,0.340689331,0.169864401,0.242783979,0.241336033,0.349714607,0.166165382,0.267316908,0.22827591,0.330274135,0.174133077
206,0,Rural,2022,Kerala,0.529351711,0.470648289,0.20310694,0.81709981,0.834941387,0.797032833,0.248570547,0.235630557,0.343864292,0.17193459,0.238567054,0.242516339,0.350373507,0.1685431,0.260356903,0.227517575,0.336194992,0.17593053
207,1,Urban,2022,Kerala,0.517891705,0.482108295,0.211856171,0.812885106,0.831586421,0.792795718,0.260622531,0.234861106,0.337034822,0.167481542,0.247739524,0.239949003,0.348940283,0.16337119,0.275138885,0.229128152,0.323619962,0.172113001
249,99,All,2021,Kerala,0.527005076,0.472994924,0.208243221,0.812185645,0.819522262,0.804011285,0.256398559,0.240347907,0.3397443,0.163509235,0.237181902,0.250009686,0.340575516,0.172232896,0.278222561,0.229375198,0.338800311,0.15360193
314,0,Rural,2021,Kerala,0.530637324,0.469362676,0.211682007,0.819105566,0.825600505,0.811762691,0.25843069,0.228659898,0.346561909,0.166347489,0.235285893,0.235070616,0.352858216,0.17678529,0.285043061,0.221288726,0.339322329,0.1543459
315,1,Urban,2021,Kerala,0.523364186,0.476635814,0.204796299,0.805249393,0.813345015,0.796360016,0.254326552,0.252265185,0.332792938,0.16061531,0.239137843,0.265421003,0.327904552,0.167536601,0.27136004,0.237511501,0.338275075,0.15285337
357,99,All,2020,Kerala,0.527263641,0.472736359,0.209145144,0.81444633,0.827880681,0.799462318,0.256794274,0.245506138,0.34220314,0.155496463,0.240326017,0.252830714,0.34396559,0.162877694,0.27581495,0.237046316,0.340167522,0.146971226
