,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
3012,NA,2020,State,urban/rural,All,Total,state_sec_quint,2020,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3079,NA,2021,State,All,All,Total,state_quint,2021,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3259,NA,2021,State,All,All,Total,state_quint,2021,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3332,NA,2021,State,urban/rural,All,Total,state_sec_quint,2021,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3333,NA,2021,State,urban/rural,All,Total,state_sec_quint,2021,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3692,NA,2021,State,urban/rural,All,Total,state_sec_quint,2021,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3693,NA,2021,State,urban/rural,All,Total,state_sec_quint,2021,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3760,18512.87,2022,State,All,All,Total,state_quint,2022,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
3955,8649.97,2022,State,All,All,1,state_quint,2022,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
3956,13780.38,2022,State,All,All,2,state_quint,2022,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
3957,18645.16,2022,State,All,All,3,state_quint,2022,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
3958,26470.96,2022,State,All,All,4,state_quint,2022,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
