,poor_215,poor_365,poor_685,perc_poor_215,perc_poor_365,perc_poor_685,welfareagg_cat1,welfareagg_cat2,welfareagg_cat3,welfareagg_cat4,welfareagg_cat5,year,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,educ_cat1,educ_cat2,educ_cat3,educ_cat4,educ_cat5,educ_cat6,gender_cat1,gender_cat2,hhsize_cat,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_land
50,0.286724837,0.627243373,0.877156441,28.6724837,62.7243373,95.4328834,0.403953522,0.188936695,0.137805909,0.120107301,0.149196565,2011,sectorstate,0,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.044690196,0.572316233,0.954328834,4.4690196,57.2316233,98.9097283,0.122728691,0.317054063,0.303259134,0.193139493,0.063818596,2011,sectorstate,0,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.355429685,0.834025718,0.989097283,35.5429685,83.4025718,95.3156449,0.553732395,0.225333244,0.126602471,0.07159628,0.022735627,2011,sectorstate,0,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.078854256,0.585212481,0.953156449,7.8854256,58.5212481,96.8569935,0.176562041,0.320244193,0.250310332,0.18050386,0.072379597,2011,sectorstate,0,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.08135193,0.638818899,0.968569935,8.135193,63.8818899,98.1094489,0.195835277,0.322876304,0.253777117,0.159963906,0.067547396,2011,sectorstate,0,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.081106461,0.711523555,0.981094489,8.1106461,71.1523555,98.3605054,0.225934595,0.419709384,0.220893756,0.104330562,0.029131705,2011,sectorstate,0,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.231779761,0.789104761,0.983605054,23.1779761,78.9104761,97.2369514,0.414737523,0.297472477,0.176821455,0.082036003,0.02893254,2011,sectorstate,0,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,0.194780735,0.752932162,0.972369514,19.4780735,75.2932162,98.8225623,0.35635218,0.314470798,0.176402628,0.109979287,0.04279511,2011,sectorstate,0,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.30552589,0.880501746,0.988225623,30.552589,88.0501746,98.9392581,0.53770566,0.292575032,0.116861008,0.03600429,0.016853992,2011,sectorstate,0,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.282041478,0.826105635,0.989392581,28.2041478,82.6105635,98.4188961,0.492737293,0.279076457,0.148708507,0.06124587,0.018231865,2011,sectorstate,0,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
