Poor,Urban,State,Education,Attendence,Child Mortality,Nutrition,Electricity,Toilet,Water,House,Fuel,Asset,year
1,0,Mizoram,0.66,0.19,0.08,0.48,0.33,0.64,0.31,0.84,0.92,0.78,5
1,0,Nagaland,0.64,0.1,0.06,0.47,0.1,0.35,0.27,0.97,0.99,0.81,5
1,0,Odisha,0.52,0.09,0.05,0.65,0.28,0.94,0.3,0.87,0.99,0.46,5
1,0,Pondicherry,0.49,0.03,0.03,0.49,0.03,1,0.02,0.88,0.89,0.42,5
1,0,Punjab,0.65,0.16,0.08,0.61,0.03,0.69,0.08,0.8,0.88,0.17,5
1,0,Rajasthan,0.55,0.17,0.06,0.63,0.24,0.9,0.46,0.71,0.98,0.53,5
1,0,Sikkim,0.72,0.04,0.08,0.51,0.01,0.22,0.11,0.78,0.94,0.71,5
1,0,Tamil Nadu,0.6,0.04,0.04,0.49,0.09,0.97,0.2,0.66,0.87,0.41,5
1,0,Telangana,0.7,0.04,0.04,0.5,0.08,0.9,0.34,0.67,0.84,0.57,5
1,0,Tripura,0.56,0.07,0.04,0.57,0.27,0.7,0.42,0.98,0.94,0.64,5
1,0,Uttar Pradesh,0.48,0.19,0.09,0.67,0.54,0.92,0.06,0.95,0.96,0.3,5
1,0,Uttarakhand,0.48,0.1,0.07,0.63,0.12,0.76,0.23,0.85,0.96,0.53,5
1,0,West Bengal,0.59,0.08,0.04,0.61,0.17,0.85,0.16,0.92,0.99,0.44,5
1,1,Andaman and Nicobar Islands,0.89,0,0,1,0.23,0.54,0,0.34,0.11,0.11,5
1,1,Andhra Pradesh,0.77,0.14,0.08,0.62,0.06,0.73,0.26,0.33,0.53,0.43,5
1,1,Arunachal Pradesh,0.65,0.29,0.03,0.52,0.09,0.64,0.21,0.84,0.6,0.54,5
1,1,Assam,0.49,0.08,0.07,0.7,0.27,0.8,0.27,0.91,0.72,0.47,5
