staten,state,unemp_cws,lf_cws,emp_cws,neet,unpaid_emp,salaried,casual,self_emp,agri_cws,ind_cws,services_cws,lfpr_female,unemp_female,type,urban,level,area,year,dem,yr
11,Sikkim,0.030885665,0.567147374,0.549630642,0.042816803,0.049414624,0.491409838,0.091486759,0.41710341,0.009339798,0.170932829,0.819727361,0.320234656,0.069357388,State+Urban+All,1,state,urban/rural,2023,All,2023
11,Sikkim,0.017813977,0.776145637,0.762319386,0.031276196,0.188408569,0.265126884,0.082306013,0.652567089,0.532265782,0.140037984,0.327696264,0.747785091,0.024098841,State+Urban+All,0,state,urban/rural,2022,All,2022
11,Sikkim,0.017467825,0.739693046,0.726772189,0.033452041,0.156319767,0.306221634,0.087524518,0.606253862,0.448363572,0.157088324,0.394548088,0.670697927,0.025183652,State+AllSectors+All,99,state,All,2022,All,2022
11,Sikkim,0.015702803,0.596777141,0.587406039,0.0401631,0.030512463,0.515313745,0.114076503,0.37060976,0.021465473,0.243841216,0.734693289,0.336117268,0.035658754,State+Urban+All,1,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.049174894,0.679030001,0.645638764,0.049075294,0.144067273,0.207847252,0.049867872,0.742284894,0.620193064,0.09383034,0.285976619,0.582291245,0.045987282,State+AllSectors+All,99,state,All,2022,All,2022
12,Arunachal Pradesh,0.108831055,0.548168361,0.488510638,0.060963362,0.051391274,0.438066781,0.051246822,0.510686398,0.168142989,0.153851807,0.678005219,0.370957792,0.167191863,State+Urban+All,1,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.040454388,0.703582764,0.675119758,0.046892956,0.161455482,0.176606804,0.049680751,0.773712456,0.681564629,0.085681662,0.232753724,0.622753263,0.032164153,State+Urban+All,0,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.128047273,0.599802256,0.522999227,0.079558767,0.039523181,0.450295895,0.055201363,0.494502723,0.158159077,0.199338064,0.642502844,0.45626843,0.182771817,State+Urban+All,1,state,urban/rural,2023,All,2023
12,Arunachal Pradesh,0.062472019,0.722114205,0.677002251,0.055394135,0.140538424,0.178886056,0.044171657,0.776942313,0.621358037,0.114197224,0.264444739,0.654197812,0.063047394,State+AllSectors+All,99,state,All,2023,All,2023
12,Arunachal Pradesh,0.051931296,0.746586323,0.707815111,0.05034871,0.160749495,0.13879928,0.042542588,0.818658113,0.689836085,0.101610243,0.208553687,0.695746005,0.046565998,State+Urban+All,0,state,urban/rural,2023,All,2023
13,Nagaland,0.087221287,0.606189847,0.553317189,0.05112531,0.043479905,0.457659334,0.044756796,0.497583866,0.124642029,0.121621616,0.753736377,0.489801854,0.088929527,State+Urban+All,1,state,urban/rural,2022,All,2022
13,Nagaland,0.032545567,0.746415079,0.72212255,0.040787287,0.186131477,0.228045121,0.052488826,0.719466031,0.612534046,0.114944756,0.272521228,0.669998407,0.02536883,State+Urban+All,0,state,urban/rural,2022,All,2022
13,Nagaland,0.045745477,0.706935346,0.67459625,0.043244906,0.145968661,0.281069607,0.05070328,0.668227077,0.49986577,0.116486639,0.383647591,0.619024098,0.039595608,State+AllSectors+All,99,state,All,2022,All,2022
13,Nagaland,0.117932536,0.62934345,0.555123389,0.041508064,0.022887191,0.436070859,0.076951608,0.486977518,0.150498778,0.133782402,0.715718806,0.504466176,0.124731436,State+Urban+All,1,state,urban/rural,2023,All,2023
