,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
102,0.088028349,0.010582929,2019,5,State,urban/rural,All Households,statesector,0,Telangana,NA,NA,NA,NA,NA,NA
103,0.028692333,0.003414035,2019,5,State,urban/rural,All Households,statesector,1,Telangana,NA,NA,NA,NA,NA,NA
104,0.197023958,0.035889946,2019,5,State,urban/rural,All Households,statesector,0,Tripura,NA,NA,NA,NA,NA,NA
105,0.056249794,0.009139598,2019,5,State,urban/rural,All Households,statesector,1,Tripura,NA,NA,NA,NA,NA,NA
106,0.263667822,0.077120312,2019,5,State,urban/rural,All Households,statesector,0,Uttar Pradesh,NA,NA,NA,NA,NA,NA
107,0.115818553,0.028515523,2019,5,State,urban/rural,All Households,statesector,1,Uttar Pradesh,NA,NA,NA,NA,NA,NA
108,0.112156279,0.015606856,2019,5,State,urban/rural,All Households,statesector,0,Uttarakhand,NA,NA,NA,NA,NA,NA
109,0.065843552,0.01389845,2019,5,State,urban/rural,All Households,statesector,1,Uttarakhand,NA,NA,NA,NA,NA,NA
110,0.198426917,0.036459342,2019,5,State,urban/rural,All Households,statesector,0,West Bengal,NA,NA,NA,NA,NA,NA
111,0.056735307,0.011043457,2019,5,State,urban/rural,All Households,statesector,1,West Bengal,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,5,National,All,All Households,allindia_pop,99,India,NA,NA,NA,NA,NA,NA
113,0.333861947,0.110591821,2019,5,National,All,Age,allindia,99,India,15 to 29,NA,NA,NA,NA,NA
114,0.187942892,0.059301533,2019,5,National,All,Age,allindia,99,India,30 to 45,NA,NA,NA,NA,NA
115,0.131708652,0.026632037,2019,5,National,All,Age,allindia,99,India,46 to 64,NA,NA,NA,NA,NA
116,0.133663177,0.022088183,2019,5,National,All,Age,allindia,99,India,65+,NA,NA,NA,NA,NA
