State,Variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All States/UT,REV_TAX_I_B_OT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.27,-5.09,-3.23,0.11,0.29,39.07,0.0,43.8,26.3721,370.561,114.4106,342.4005,388.6784,419.8139,669.2491,1158.9693,1937.11938,1984.714,1537.52
All States/UT,REV_NTAX_II,21880.48,27931.79,30642.71,36728.09,41471.46,43705.09,46436.13,48121.01,47459.9,59654.2,69238.27,75363.24,81541.29,89536.15,104391.68,124689.57,157714.4,185799.36,211674.6,240061.67,255148.93,285544.09,305943.42,338495.03,474470.56,479548.8618,525627.7515,585595.7294,658614.0472,795458.1922,819516.9753,869544.6891,943149.6855,1077414.366,1115031.543
All States/UT,REV_NTAX_II_C,9237.19,12706.11,12883.88,15552.09,21560.43,22831.61,23486.84,24268.11,23979.84,29476.81,31454.5,32280.9,35858.75,38188.57,47534.81,47939.42,63263.28,77177.52,81751.17,89089.37,91652.2,99127.64,117261.65,132543.02,143665.89,153653.2593,169536.459,179637.7962,218745.3694,260890.7337,175676.0608,246916.829,281692.8343,336592.6921,394676.865
All States/UT,REV_NTAX_II_C_IR,2403.47,5319.96,3938.12,4720.09,5344.45,5785.33,8165.53,7777.0,7338.81,8992.88,11437.69,9205.2,9501.46,8616.59,9469.99,9379.78,11824.53,12637.21,16356.48,15294.08,15625.44,18582.13,24118.19,27215.28,24134.658,18216.1269,24560.36718,27965.9906,31491.30204,26446.0502,22629.07428,19612.61256,24580.46695,29273.7446,33548.8036
All States/UT,REV_NTAX_II_C_DP,33.71,44.93,105.31,62.03,70.63,102.5,158.37,89.73,101.3,245.15,154.31,128.46,327.6,390.68,341.95,578.25,632.91,569.53,832.7,784.07,675.68,997.52,1248.39,1747.54,2072.2348,1679.179816,2059.035079,2446.955949,2439.938447,2006.080626,4057.741839,3686.578144,3073.077542,5942.5325,6407.0018
All States/UT,REV_NTAX_II_C_GS,1913.16,1727.91,1844.45,2939.17,7156.44,7676.14,5302.6,6397.38,5390.18,5945.96,6087.48,7964.68,8801.48,9372.43,11130.16,11783.56,18648.42,26397.07,22278.66,24120.0,18986.22,14844.25,18181.06,19458.63,24900.191,32554.37109,30429.14291,32812.41865,52465.03419,108121.9384,30722.10121,35311.13331,53550.13157,71158.3752,82315.4621
All States/UT,REV_NTAX_II_C_SL,336.07,299.34,898.27,1948.24,4761.12,3736.5,3639.44,3257.7,1187.72,1360.06,2699.72,4420.33,5338.2,5821.31,7054.94,7124.14,6473.08,5130.01,5089.4,5748.99,5440.22,2419.53,3545.55,4717.06,6410.304,6799.945904,7853.987532,9415.860877,10601.58433,11420.51048,6353.976536,7389.609162,12421.2458,13148.3722,14138.1192
All States/UT,REV_NTAX_II_C_SS,585.76,774.49,847.64,910.49,957.4,1086.85,1193.17,1678.56,1761.99,2201.32,2311.4,2558.03,2855.83,3282.92,3590.96,4548.57,6967.13,7889.2,7726.12,9081.45,11797.43,12897.57,17936.04,22974.42,25926.541,30867.60157,35474.04953,20434.1045,24382.98125,29140.28012,24093.43037,33494.46805,30409.86066,34575.3291,38899.5489
All States/UT,REV_NTAX_II_C_SS_ES,181.56,189.81,229.99,218.47,243.43,273.99,286.47,398.23,391.75,646.83,661.1,663.91,906.17,1033.13,1310.48,1903.49,2007.83,2335.93,2794.99,4806.41,6002.63,6191.39,9733.44,13969.12,15423.367,17136.26776,21408.14862,6021.24266,7637.665843,9397.167077,8149.970813,10094.02875,9339.210172,9421.0072,11095.2827
All States/UT,REV_NTAX_II_C_SS_MH,191.75,217.22,236.84,317.92,298.86,287.62,293.39,413.68,443.74,525.83,476.58,622.09,640.15,581.06,787.36,658.18,783.23,878.75,1458.03,941.39,1159.72,1529.58,2051.94,2208.78,2555.9585,3023.256664,3582.966797,3792.337367,4610.744282,6756.580341,5153.733702,7602.814013,6815.051366,7645.8542,8569.9511
