,,,,,Internal Debt (1 to 8),CAP_REC_I,,,,,,,,,,,,,,,,
,,,,,Market Loans,CAP_REC_I_ML,,,,,,,,,,,,,,,,
,,,,,Loans from LIC,CAP_REC_I_LIC,,,,,,,,,,,,,,,,
,,,,,Loans from National Bank for Agriculture and Rural Development,CAP_REC_I_NABARD,,,,,,,,,,,,,,,,
,,,,,Loans from SBI and other Banks,CAP_REC_I_SBI,,,,,,,,,,,,,,,,
,,,,,Loans from National Co-operative Development Corporation,CAP_REC_I_NCDC,,,,,,,,,,,,,,,,
,,,,,WMA from RBI,CAP_REC_I_WMA,,,,,,,,,,,,,,,,
,,,,,Special Securities issued to NSSF,CAP_REC_I_SS_NSSF,,,,,,,,,,,,,,,,
,,,,,Others (including 106),CAP_REC_I_OTH,,,,,,,,,,,,,,,,
,,,,,Land Compensation and other,CAP_REC_I_OTH_LAND,,,,,,,,,,,,,,,,
,,,,,Loans and Advances from the Centre (1 to 8),CAP_REC_II,,,,,,,,,,,,,,,,
,,,,,State Plan Schemes,CAP_REC_II_SPS,,,,,,,,,,,,,,,,
,,,,,Advance release of Plan Assistance for Natural Calamities,CAP_REC_II_SPS_NC,,,,,,,,,,,,,,,,
,,,,,Central Plan Schemes,CAP_REC_II_CPS,,,,,,,,,,,,,,,,
,,,,,Centrally Sponsored Schemes,CAP_REC_II_CSS,,,,,,,,,,,,,,,,
,,,,,Non-Plan (i to iii),CAP_REC_II_NP,,,,,,,,,,,,,,,,
,,,,,Share of Small Savings,CAP_REC_II_NP_SS,,,,,,,,,,,,,,,,
,,,,,Relief for Natural Calamities,CAP_REC_II_NP_NC,,,,,,,,,,,,,,,,
,,,,,Others,CAP_REC_II_NP_OT,,,,,,,,,,,,,,,,
,,,,,Ways and Means Advances from Centre,CAP_REC_II_WMA,,,,,,,,,,,,,,,,
,,,,,Loans for Special Schemes,CAP_REC_II_LSS,,,,,,,,,,,,,,,,
,,,,,Recovery of Loans and Advances (1 to 12),CAP_REC_III,,,,,,,,,,,,,,,,
,,,,,Housing,CAP_REC_III_H,,,,,,,,,,,,,,,,
,,,,,Urban Development,CAP_REC_III_UD,,,,,,,,,,,,,,,,
,,,,,Crop Husbandry,CAP_REC_III_CH,,,,,,,,,,,,,,,,
,,,,,Food Storage and Warehousing,CAP_REC_III_FSW,,,,,,,,,,,,,,,,
,,,,,Co-operation,CAP_REC_III_COOP,,,,,,,,,,,,,,,,
,,,,,Minor Irrigation,CAP_REC_III_MI,,,,,,,,,,,,,,,,
,,,,,Power Projects,CAP_REC_III_PP,,,,,,,,,,,,,,,,
,,,,,Village and Small Industries,CAP_REC_III_VSI,,,,,,,,,,,,,,,,
,,,,,Industries and Minerals,CAP_REC_III_IM,,,,,,,,,,,,,,,,
,,,,,Road Transport,CAP_REC_III_RT,,,,,,,,,,,,,,,,
,,,,,"Government Servants, etc.",CAP_REC_III_GS,,,,,,,,,,,,,,,,
,,,,,Others,CAP_REC_III_OTH,,,,,,,,,,,,,,,,
,,,,,Inter-State Settlement,CAP_REC_IV,,,,,,,,,,,,,,,,
,,,,,Contingency Fund,CAP_REC_V,,,,,,,,,,,,,,,,
,,,,,"State Provident Funds, etc. (1 + 2)",CAP_REC_VI,,,,,,,,,,,,,,,,
,,,,,State Provident Funds,CAP_REC_VI_SPF,,,,,,,,,,,,,,,,
,,,,,Others,CAP_REC_VI_OTH,,,,,,,,,,,,,,,,
,,,,,Reserve Funds (1 to 4),CAP_REC_VII,,,,,,,,,,,,,,,,
,,,,,Depreciation/Renewal Reserve Funds,CAP_REC_VII_DRF,,,,,,,,,,,,,,,,
,,,,,Sinking Funds,CAP_REC_VII_SF,,,,,,,,,,,,,,,,
,,,,,Famine Relief Fund,CAP_REC_VII_FRF,,,,,,,,,,,,,,,,
,,,,,Others,CAP_REC_VII_OTH,,,,,,,,,,,,,,,,
,,,,,Deposits and Advances (1 to 4),CAP_REC_VIII,,,,,,,,,,,,,,,,
,,,,,Civil Deposits,CAP_REC_VIII_CD,,,,,,,,,,,,,,,,
,,,,,Deposits of Local Funds,CAP_REC_VIII_DLF,,,,,,,,,,,,,,,,
,,,,,Civil Advances,CAP_REC_VIII_CA,,,,,,,,,,,,,,,,
,,,,,Suspense and Miscellaneous (1 to 4),CAP_REC_IX,,,,,,,,,,,,,,,,
,,,,,Suspense,CAP_REC_IX_SUS,,,,,,,,,,,,,,,,
,,,,,Cash Balance Investment Accounts,CAP_REC_IX_CBIA,,,,,,,,,,,,,,,,
,,,,,Deposits with RBI,CAP_REC_IX_DRBI,,,,,,,,,,,,,,,,
,,,,,Appropriation to Contingency Fund,CAP_REC_X,,,,,,,,,,,,,,,,
,,,,,Miscellaneous Capital Receipts,CAP_REC_XI,,,,,,,,,,,,,,,,
,,,,,Disinvestment,CAP_REC_DISINV,,,,,,,,,,,,,,,,
,,,,,TOTAL CAPITAL DISBURSEMENTS (Excluding Public Accounts),EXP_CAP_TOTAL_EXPA,,,,,,,,,,,,,,,,
,,,,,TOTAL CAPITAL DISBURSEMENTS (I to XII),EXP_CAP_TOTAL,,,,,,,,,,,,,,,,
,,,,,Total Capital Outlay (1 + 2),EXP_CAP_I,,,,,,,,,,,,,,,,
,,,,,Development (a + b),EXP_CAP_I_1_DEV,,,,,,,,,,,,,,,,
,,,,,Social Services (1 to 9),EXP_CAP_I_1_A_SS,,,,,,,,,,,,,,,,
,,,,,"Education, Sports, Art and Culture",EXP_CAP_I_1_A_1,,,,,,,,,,,,,,,,
,,,,,Medical and Public Health,EXP_CAP_I_1_A_2,,,,,,,,,,,,,,,,
,,,,,Family Welfare,EXP_CAP_I_1_A_3,,,,,,,,,,,,,,,,
,,,,,Water Supply and Sanitation,EXP_CAP_I_1_A_4,,,,,,,,,,,,,,,,
,,,,,Housing,EXP_CAP_I_1_A_5,,,,,,,,,,,,,,,,
,,,,,Urban Development,EXP_CAP_I_1_A_6,,,,,,,,,,,,,,,,
,,,,,"Welfare of Scheduled Castes, Scheduled Tribes, and Other Backward Classes",EXP_CAP_I_1_A_7,,,,,,,,,,,,,,,,
,,,,,Social Security and Welfare,EXP_CAP_I_1_A_8,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CAP_I_1_A_9,,,,,,,,,,,,,,,,
,,,,,Economic Services (1 to 10),EXP_CAP_I_1_B_ES,,,,,,,,,,,,,,,,
,,,,,Agriculture and Allied Activities (i to xi),EXP_CAP_I_1_B_1_AGRI,,,,,,,,,,,,,,,,
,,,,,Crop Husbandry,EXP_CAP_I_1_B_1_I,,,,,,,,,,,,,,,,
,,,,,Soil and Water Conservation,EXP_CAP_I_1_B_1_II,,,,,,,,,,,,,,,,
,,,,,Animal Husbandry,EXP_CAP_I_1_B_1_III,,,,,,,,,,,,,,,,
,,,,,Dairy Development,EXP_CAP_I_1_B_1_IV,,,,,,,,,,,,,,,,
,,,,,Fisheries,EXP_CAP_I_1_B_1_V,,,,,,,,,,,,,,,,
,,,,,Forestry and Wild Life,EXP_CAP_I_1_B_1_VI,,,,,,,,,,,,,,,,
,,,,,Plantations,EXP_CAP_I_1_B_1_VII,,,,,,,,,,,,,,,,
,,,,,Food Storage and Warehousing,EXP_CAP_I_1_B_1_VIII,,,,,,,,,,,,,,,,
,,,,,Agricultural Research and Education,EXP_CAP_I_1_B_1_IX,,,,,,,,,,,,,,,,
,,,,,Co-operation,EXP_CAP_I_1_B_1_X,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CAP_I_1_B_1_XI,,,,,,,,,,,,,,,,
,,,,,Rural Development,EXP_CAP_I_1_B_2_RD,,,,,,,,,,,,,,,,
,,,,,Special Area Programmes,EXP_CAP_I_1_B_3_SAP,,,,,,,,,,,,,,,,
,,,,,of which: Hill Areas,EXP_CAP_I_1_B_3_0,,,,,,,,,,,,,,,,
,,,,,Irrigation and Flood Control,EXP_CAP_I_1_B_4_IFC,,,,,,,,,,,,,,,,
,,,,,Energy,EXP_CAP_I_1_B_5_ENERGY,,,,,,,,,,,,,,,,
,,,,,Industry and Minerals (i to iv),EXP_CAP_I_1_B_6_IM,,,,,,,,,,,,,,,,
,,,,,Village and Small Industries,EXP_CAP_I_1_B_6_I,,,,,,,,,,,,,,,,
,,,,,Iron and Steel Industries,EXP_CAP_I_1_B_6_II,,,,,,,,,,,,,,,,
,,,,,Non-Ferrous Mining and Metallurgical Industries,EXP_CAP_I_1_B_6_III,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CAP_I_1_B_6_IV,,,,,,,,,,,,,,,,
,,,,,Transport (i + ii),EXP_CAP_I_1_B_7_TRNS,,,,,,,,,,,,,,,,
,,,,,Roads and Bridges,EXP_CAP_I_1_B_7_I,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CAP_I_1_B_7_II,,,,,,,,,,,,,,,,
,,,,,Communications,EXP_CAP_I_1_B_8_COM,,,,,,,,,,,,,,,,
,,,,,"Science, Technology and Environment",EXP_CAP_I_1_B_9_STE,,,,,,,,,,,,,,,,
,,,,,General Economic Services (i + ii),EXP_CAP_I_1_B_10_GES,,,,,,,,,,,,,,,,
,,,,,Tourism,EXP_CAP_I_1_B_10_I,,,,,,,,,,,,,,,,
,,,,,Others,EXP_CAP_I_1_B_10_II,,,,,,,,,,,,,,,,
