group,poor_420,sectorname,sector,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
state_sector,1,rural,0,Uttar Pradesh,2022,0.311,0.001,0.741,0.297,0.001,0.159,0.015,0.138,0.059,0.002,0.012,0.000,0.000,0.003,0.000,0.009,0.280,0.028,0.162,0.025,0.019
state_sector,0,urban,1,Uttar Pradesh,2022,0.215,0.000,0.354,0.041,0.000,0.285,0.013,0.041,0.042,0.004,0.004,0.000,0.001,0.002,0.000,0.001,0.036,0.007,0.023,0.002,0.000
state_sector,1,urban,1,Uttar Pradesh,2022,0.307,0.000,0.578,0.123,0.001,0.242,0.010,0.052,0.057,0.004,0.007,0.001,0.001,0.002,0.000,0.003,0.114,0.010,0.063,0.004,0.003
state,0,,99,Uttar Pradesh,2022,0.290,0.000,0.560,0.153,0.001,0.238,0.012,0.084,0.052,0.005,0.008,0.000,0.001,0.002,0.000,0.005,0.146,0.018,0.090,0.014,0.012
state,1,,99,Uttar Pradesh,2022,0.310,0.001,0.717,0.271,0.001,0.171,0.015,0.126,0.058,0.002,0.012,0.000,0.000,0.003,0.000,0.009,0.256,0.025,0.147,0.022,0.017
state_sector,0,rural,0,Uttarakhand,2022,0.341,0.000,0.377,0.263,0.002,0.499,0.015,0.031,0.438,0.037,0.083,0.001,0.050,0.000,0.002,0.034,0.237,0.004,0.025,0.128,0.064
state_sector,1,rural,0,Uttarakhand,2022,0.409,0.000,0.434,0.390,0.013,0.410,0.006,0.034,0.402,0.013,0.091,0.000,0.045,0.000,0.000,0.046,0.377,0.000,0.069,0.159,0.084
state_sector,0,urban,1,Uttarakhand,2022,0.235,0.000,0.121,0.094,0.000,0.555,0.011,0.012,0.399,0.044,0.016,0.001,0.015,0.000,0.003,0.001,0.091,0.001,0.007,0.019,0.011
state_sector,1,urban,1,Uttarakhand,2022,0.615,0.000,0.105,0.250,0.000,0.318,0.030,0.000,0.249,0.115,0.024,0.000,0.000,0.000,0.000,0.024,0.230,0.000,0.008,0.032,0.000
state,0,,99,Uttarakhand,2022,0.318,0.000,0.321,0.226,0.001,0.511,0.014,0.027,0.429,0.039,0.068,0.001,0.042,0.000,0.002,0.027,0.205,0.004,0.021,0.104,0.052
state,1,,99,Uttarakhand,2022,0.438,0.000,0.387,0.370,0.011,0.397,0.009,0.030,0.380,0.027,0.082,0.000,0.038,0.000,0.000,0.043,0.357,0.000,0.060,0.141,0.072
state_sector,0,rural,0,West Bengal,2022,0.043,0.082,0.955,0.456,0.002,0.254,0.062,0.067,0.770,0.042,0.055,0.000,0.000,0.006,0.033,0.019,0.441,0.194,0.146,0.142,0.073
state_sector,1,rural,0,West Bengal,2022,0.030,0.085,0.987,0.492,0.004,0.156,0.075,0.116,0.818,0.038,0.052,0.000,0.000,0.003,0.028,0.024,0.472,0.184,0.139,0.145,0.084
state_sector,0,urban,1,West Bengal,2022,0.033,0.029,0.674,0.302,0.001,0.406,0.025,0.053,0.591,0.034,0.030,0.000,0.001,0.003,0.018,0.010,0.292,0.119,0.090,0.066,0.018
state_sector,1,urban,1,West Bengal,2022,0.043,0.063,0.895,0.496,0.002,0.372,0.044,0.105,0.709,0.066,0.032,0.000,0.001,0.005,0.010,0.017,0.483,0.166,0.154,0.110,0.043
state,0,,99,West Bengal,2022,0.040,0.066,0.874,0.411,0.002,0.298,0.051,0.063,0.718,0.040,0.048,0.000,0.000,0.005,0.028,0.016,0.397,0.172,0.130,0.120,0.057
state,1,,99,West Bengal,2022,0.033,0.080,0.965,0.493,0.004,0.207,0.068,0.114,0.793,0.045,0.047,0.000,0.000,0.003,0.024,0.022,0.474,0.180,0.142,0.136,0.074
sector,0,rural,0,India,2011,0.506,0.696,,,,,,,,,,,,,,,,,,,
sector,1,rural,0,India,2011,0.536,0.822,,,,,,,,,,,,,,,,,,,
sector,0,urban,1,India,2011,0.268,0.241,,,,,,,,,,,,,,,,,,,
sector,1,urban,1,India,2011,0.428,0.520,,,,,,,,,,,,,,,,,,,
india_all,0,,99,India,2011,0.409,0.511,,,,,,,,,,,,,,,,,,,
india_all,1,,99,India,2011,0.515,0.763,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Andaman and Nicobar Islands,2011,0.930,0.465,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Andaman and Nicobar Islands,2011,1.000,0.871,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Andaman and Nicobar Islands,2011,0.867,0.177,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Andaman and Nicobar Islands,2011,0.708,0.708,,,,,,,,,,,,,,,,,,,
state,0,,99,Andaman and Nicobar Islands,2011,0.907,0.360,,,,,,,,,,,,,,,,,,,
state,1,,99,Andaman and Nicobar Islands,2011,0.975,0.858,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Andhra Pradesh,2011,0.873,0.804,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Andhra Pradesh,2011,0.970,0.918,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Andhra Pradesh,2011,0.510,0.320,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Andhra Pradesh,2011,0.826,0.683,,,,,,,,,,,,,,,,,,,
state,0,,99,Andhra Pradesh,2011,0.765,0.660,,,,,,,,,,,,,,,,,,,
state,1,,99,Andhra Pradesh,2011,0.937,0.865,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Arunachal Pradesh,2011,0.621,0.278,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Arunachal Pradesh,2011,0.580,0.249,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Arunachal Pradesh,2011,0.594,0.177,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Arunachal Pradesh,2011,0.631,0.119,,,,,,,,,,,,,,,,,,,
state,0,,99,Arunachal Pradesh,2011,0.614,0.252,,,,,,,,,,,,,,,,,,,
state,1,,99,Arunachal Pradesh,2011,0.587,0.232,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Assam,2011,0.757,0.744,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Assam,2011,0.776,0.809,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Assam,2011,0.444,0.382,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Assam,2011,0.576,0.619,,,,,,,,,,,,,,,,,,,
state,0,,99,Assam,2011,0.691,0.668,,,,,,,,,,,,,,,,,,,
state,1,,99,Assam,2011,0.761,0.796,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Bihar,2011,0.286,0.874,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Bihar,2011,0.500,0.901,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Bihar,2011,0.144,0.447,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Bihar,2011,0.282,0.611,,,,,,,,,,,,,,,,,,,
state,0,,99,Bihar,2011,0.265,0.810,,,,,,,,,,,,,,,,,,,
state,1,,99,Bihar,2011,0.481,0.877,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Chandigarh,2011,0.108,0.103,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Chandigarh,2011,0.024,0.000,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Chandigarh,2011,0.132,0.060,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Chandigarh,2011,0.411,0.209,,,,,,,,,,,,,,,,,,,
state,0,,99,Chandigarh,2011,0.130,0.063,,,,,,,,,,,,,,,,,,,
state,1,,99,Chandigarh,2011,0.381,0.192,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Chhattisgarh,2011,0.533,0.854,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Chhattisgarh,2011,0.741,0.871,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Chhattisgarh,2011,0.267,0.281,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Chhattisgarh,2011,0.681,0.715,,,,,,,,,,,,,,,,,,,
state,0,,99,Chhattisgarh,2011,0.432,0.635,,,,,,,,,,,,,,,,,,,
state,1,,99,Chhattisgarh,2011,0.731,0.844,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Dadra and Nagar Haveli and Daman and Diu,2011,0.061,0.272,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Dadra and Nagar Haveli and Daman and Diu,2011,0.618,0.713,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Dadra and Nagar Haveli and Daman and Diu,2011,0.194,0.094,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Dadra and Nagar Haveli and Daman and Diu,2011,0.261,0.164,,,,,,,,,,,,,,,,,,,
state,0,,99,Dadra and Nagar Haveli and Daman and Diu,2011,0.144,0.160,,,,,,,,,,,,,,,,,,,
state,1,,99,Dadra and Nagar Haveli and Daman and Diu,2011,0.527,0.574,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Delhi,2011,0.090,0.000,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Delhi,2011,0.342,0.000,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Delhi,2011,0.114,0.022,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Delhi,2011,0.200,0.042,,,,,,,,,,,,,,,,,,,
state,0,,99,Delhi,2011,0.112,0.020,,,,,,,,,,,,,,,,,,,
state,1,,99,Delhi,2011,0.213,0.038,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Goa,2011,0.691,0.543,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Goa,2011,0.859,0.509,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Goa,2011,0.456,0.266,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Goa,2011,0.799,0.519,,,,,,,,,,,,,,,,,,,
state,0,,99,Goa,2011,0.566,0.395,,,,,,,,,,,,,,,,,,,
state,1,,99,Goa,2011,0.837,0.513,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Gujarat,2011,0.181,0.516,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Gujarat,2011,0.464,0.743,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Gujarat,2011,0.030,0.043,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Gujarat,2011,0.160,0.257,,,,,,,,,,,,,,,,,,,
state,0,,99,Gujarat,2011,0.094,0.243,,,,,,,,,,,,,,,,,,,
state,1,,99,Gujarat,2011,0.382,0.613,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Haryana,2011,0.102,0.095,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Haryana,2011,0.384,0.327,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Haryana,2011,0.051,0.030,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Haryana,2011,0.272,0.118,,,,,,,,,,,,,,,,,,,
state,0,,99,Haryana,2011,0.085,0.073,,,,,,,,,,,,,,,,,,,
state,1,,99,Haryana,2011,0.358,0.280,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Himachal Pradesh,2011,0.926,0.319,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Himachal Pradesh,2011,0.987,0.346,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Himachal Pradesh,2011,0.599,0.070,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Himachal Pradesh,2011,0.788,0.249,,,,,,,,,,,,,,,,,,,
state,0,,99,Himachal Pradesh,2011,0.884,0.287,,,,,,,,,,,,,,,,,,,
state,1,,99,Himachal Pradesh,2011,0.975,0.340,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Jammu and Kashmir,2011,0.940,0.634,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Jammu and Kashmir,2011,0.929,0.714,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Jammu and Kashmir,2011,0.864,0.312,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Jammu and Kashmir,2011,0.862,0.371,,,,,,,,,,,,,,,,,,,
state,0,,99,Jammu and Kashmir,2011,0.921,0.553,,,,,,,,,,,,,,,,,,,
state,1,,99,Jammu and Kashmir,2011,0.916,0.651,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Jharkhand,2011,0.248,0.550,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Jharkhand,2011,0.369,0.673,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Jharkhand,2011,0.018,0.133,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Jharkhand,2011,0.132,0.410,,,,,,,,,,,,,,,,,,,
state,0,,99,Jharkhand,2011,0.134,0.342,,,,,,,,,,,,,,,,,,,
state,1,,99,Jharkhand,2011,0.338,0.639,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Karnataka,2011,0.755,0.773,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Karnataka,2011,0.792,0.857,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Karnataka,2011,0.272,0.196,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Karnataka,2011,0.655,0.549,,,,,,,,,,,,,,,,,,,
state,0,,99,Karnataka,2011,0.562,0.543,,,,,,,,,,,,,,,,,,,
state,1,,99,Karnataka,2011,0.753,0.770,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Kerala,2011,0.827,0.777,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Kerala,2011,0.923,0.823,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Kerala,2011,0.677,0.598,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Kerala,2011,0.896,0.726,,,,,,,,,,,,,,,,,,,
state,0,,99,Kerala,2011,0.787,0.729,,,,,,,,,,,,,,,,,,,
state,1,,99,Kerala,2011,0.916,0.798,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Ladakh,2011,0.988,0.861,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Ladakh,2011,1.000,0.748,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Ladakh,2011,0.937,0.681,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Ladakh,2011,1.000,0.366,,,,,,,,,,,,,,,,,,,
state,0,,99,Ladakh,2011,0.980,0.832,,,,,,,,,,,,,,,,,,,
state,1,,99,Ladakh,2011,1.000,0.713,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Lakshadweep,2011,0.987,0.986,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Lakshadweep,2011,1.000,1.000,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Lakshadweep,2011,0.954,0.870,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Lakshadweep,2011,1.000,0.517,,,,,,,,,,,,,,,,,,,
state,0,,99,Lakshadweep,2011,0.973,0.935,,,,,,,,,,,,,,,,,,,
state,1,,99,Lakshadweep,2011,1.000,0.649,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Madhya Pradesh,2011,0.212,0.673,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Madhya Pradesh,2011,0.482,0.753,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Madhya Pradesh,2011,0.148,0.214,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Madhya Pradesh,2011,0.431,0.506,,,,,,,,,,,,,,,,,,,
state,0,,99,Madhya Pradesh,2011,0.185,0.481,,,,,,,,,,,,,,,,,,,
state,1,,99,Madhya Pradesh,2011,0.472,0.706,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Maharashtra,2011,0.347,0.566,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Maharashtra,2011,0.577,0.735,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Maharashtra,2011,0.066,0.147,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Maharashtra,2011,0.285,0.345,,,,,,,,,,,,,,,,,,,
state,0,,99,Maharashtra,2011,0.179,0.316,,,,,,,,,,,,,,,,,,,
state,1,,99,Maharashtra,2011,0.487,0.615,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Manipur,2011,0.188,0.404,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Manipur,2011,0.091,0.347,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Manipur,2011,0.047,0.232,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Manipur,2011,0.074,0.318,,,,,,,,,,,,,,,,,,,
state,0,,99,Manipur,2011,0.154,0.363,,,,,,,,,,,,,,,,,,,
state,1,,99,Manipur,2011,0.086,0.339,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Meghalaya,2011,0.617,0.452,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Meghalaya,2011,0.859,0.657,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Meghalaya,2011,0.356,0.041,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Meghalaya,2011,0.475,0.246,,,,,,,,,,,,,,,,,,,
state,0,,99,Meghalaya,2011,0.528,0.311,,,,,,,,,,,,,,,,,,,
state,1,,99,Meghalaya,2011,0.820,0.616,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Mizoram,2011,0.987,0.472,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Mizoram,2011,0.981,0.482,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Mizoram,2011,0.945,0.417,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Mizoram,2011,0.968,0.375,,,,,,,,,,,,,,,,,,,
state,0,,99,Mizoram,2011,0.963,0.440,,,,,,,,,,,,,,,,,,,
state,1,,99,Mizoram,2011,0.977,0.448,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Nagaland,2011,0.179,0.077,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Nagaland,2011,0.157,0.072,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Nagaland,2011,0.040,0.001,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Nagaland,2011,0.190,0.065,,,,,,,,,,,,,,,,,,,
state,0,,99,Nagaland,2011,0.125,0.047,,,,,,,,,,,,,,,,,,,
state,1,,99,Nagaland,2011,0.168,0.070,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Odisha,2011,0.556,0.740,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Odisha,2011,0.710,0.820,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Odisha,2011,0.189,0.244,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Odisha,2011,0.499,0.610,,,,,,,,,,,,,,,,,,,
state,0,,99,Odisha,2011,0.455,0.603,,,,,,,,,,,,,,,,,,,
state,1,,99,Odisha,2011,0.688,0.798,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Puducherry,2011,0.797,0.355,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Puducherry,2011,0.801,0.179,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Puducherry,2011,0.809,0.213,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Puducherry,2011,0.908,0.372,,,,,,,,,,,,,,,,,,,
state,0,,99,Puducherry,2011,0.805,0.261,,,,,,,,,,,,,,,,,,,
state,1,,99,Puducherry,2011,0.852,0.272,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Punjab,2011,0.144,0.140,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Punjab,2011,0.424,0.275,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Punjab,2011,0.039,0.020,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Punjab,2011,0.199,0.105,,,,,,,,,,,,,,,,,,,
state,0,,99,Punjab,2011,0.105,0.095,,,,,,,,,,,,,,,,,,,
state,1,,99,Punjab,2011,0.344,0.215,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Rajasthan,2011,0.193,0.727,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Rajasthan,2011,0.350,0.843,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Rajasthan,2011,0.131,0.118,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Rajasthan,2011,0.326,0.420,,,,,,,,,,,,,,,,,,,
state,0,,99,Rajasthan,2011,0.174,0.542,,,,,,,,,,,,,,,,,,,
state,1,,99,Rajasthan,2011,0.346,0.770,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Sikkim,2011,0.691,0.500,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Sikkim,2011,0.846,0.717,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Sikkim,2011,0.545,0.044,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Sikkim,2011,0.612,0.102,,,,,,,,,,,,,,,,,,,
state,0,,99,Sikkim,2011,0.647,0.364,,,,,,,,,,,,,,,,,,,
state,1,,99,Sikkim,2011,0.820,0.648,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Tamil Nadu,2011,0.960,0.737,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Tamil Nadu,2011,0.979,0.832,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Tamil Nadu,2011,0.860,0.329,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Tamil Nadu,2011,0.929,0.616,,,,,,,,,,,,,,,,,,,
state,0,,99,Tamil Nadu,2011,0.911,0.536,,,,,,,,,,,,,,,,,,,
state,1,,99,Tamil Nadu,2011,0.961,0.754,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Telangana,2011,0.878,0.733,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Telangana,2011,0.950,0.897,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Telangana,2011,0.407,0.244,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Telangana,2011,0.682,0.513,,,,,,,,,,,,,,,,,,,
state,0,,99,Telangana,2011,0.652,0.499,,,,,,,,,,,,,,,,,,,
state,1,,99,Telangana,2011,0.878,0.793,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Tripura,2011,0.968,0.972,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Tripura,2011,0.968,0.972,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Tripura,2011,0.829,0.663,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Tripura,2011,0.902,0.890,,,,,,,,,,,,,,,,,,,
state,0,,99,Tripura,2011,0.940,0.909,,,,,,,,,,,,,,,,,,,
state,1,,99,Tripura,2011,0.960,0.962,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Uttar Pradesh,2011,0.199,0.871,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Uttar Pradesh,2011,0.307,0.875,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Uttar Pradesh,2011,0.058,0.355,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Uttar Pradesh,2011,0.307,0.680,,,,,,,,,,,,,,,,,,,
state,0,,99,Uttar Pradesh,2011,0.152,0.697,,,,,,,,,,,,,,,,,,,
state,1,,99,Uttar Pradesh,2011,0.307,0.842,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Uttarakhand,2011,0.857,0.735,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,Uttarakhand,2011,0.953,0.845,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Uttarakhand,2011,0.632,0.281,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,Uttarakhand,2011,0.743,0.538,,,,,,,,,,,,,,,,,,,
state,0,,99,Uttarakhand,2011,0.793,0.605,,,,,,,,,,,,,,,,,,,
state,1,,99,Uttarakhand,2011,0.902,0.770,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,West Bengal,2011,0.443,0.901,,,,,,,,,,,,,,,,,,,
state_sector,1,rural,0,West Bengal,2011,0.560,0.919,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,West Bengal,2011,0.158,0.573,,,,,,,,,,,,,,,,,,,
state_sector,1,urban,1,West Bengal,2011,0.460,0.834,,,,,,,,,,,,,,,,,,,
state,0,,99,West Bengal,2011,0.321,0.760,,,,,,,,,,,,,,,,,,,
state,1,,99,West Bengal,2011,0.543,0.904,,,,,,,,,,,,,,,,,,,
