group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
state_sector_quint,2011,urban,Chandigarh,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chandigarh,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chandigarh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Chandigarh,,,,,99,0.24,0.12,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chandigarh,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chandigarh,2,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chandigarh,3,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chandigarh,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chandigarh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Chandigarh,,,,,99,0.22,0.11,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chandigarh,,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chandigarh,,2,,,2,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chandigarh,,3,,,3,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chandigarh,,4,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chandigarh,,5,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Chhattisgarh,,,,,99,0.7,0.87,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chhattisgarh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chhattisgarh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chhattisgarh,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chhattisgarh,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Chhattisgarh,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Chhattisgarh,,,,,99,0.5,0.53,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chhattisgarh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chhattisgarh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chhattisgarh,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chhattisgarh,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Chhattisgarh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Chhattisgarh,,,,,99,0.65,0.79,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chhattisgarh,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chhattisgarh,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chhattisgarh,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chhattisgarh,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Chhattisgarh,,5,,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Daman & Diu & D & N Haveli,,,,,99,0.46,0.59,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Daman & Diu & D & N Haveli,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Daman & Diu & D & N Haveli,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Daman & Diu & D & N Haveli,3,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Daman & Diu & D & N Haveli,4,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,
