poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,0,Rural,Sikkim,2022,0.505,0.001,0.443,0.227,0.001,0.336,0.244,0,0.029,0.011,0.004,0.004,0,0,0,0,0.224,0.002,0.034,0.002,0.001
1,0,Rural,Sikkim,2022,0.728,0,0.306,0.405,0,0.358,0.537,0,0,0,0,0,0,0,0,0,0.405,0,0,0,0
0,1,Urban,Sikkim,2022,0.245,0,0.104,0.115,0,0.266,0.016,0.001,0.005,0.004,0.007,0,0,0,0,0.007,0.115,0,0.011,0,0
1,1,Urban,Sikkim,2022,0.484,0,0.108,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99,All,Sikkim,2022,0.433,0.001,0.349,0.196,0.001,0.317,0.182,0,0.022,0.009,0.005,0.003,0,0,0,0.002,0.194,0.001,0.028,0.002,0.001
1,99,All,Sikkim,2022,0.694,0,0.278,0.348,0,0.326,0.461,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0
0,1,Urban,Sikkim,2011,0.69091684,0.500304363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Sikkim,2011,0.84623665,0.716762914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Sikkim,2011,0.54515463,0.044032739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Sikkim,2011,0.61234397,0.101565046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Sikkim,2011,0.64724863,0.363612122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Sikkim,2011,0.81997979,0.647700655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Tamil Nadu,2022,0.946,0.386,0.745,0.337,0.042,0.321,0.841,0.029,0.196,0.025,0.117,0.005,0,0.001,0.015,0.104,0.31,0.183,0.212,0.197,0.094
1,0,Rural,Tamil Nadu,2022,0.959,0.515,0.591,0.527,0.017,0.222,0.684,0.017,0.154,0.011,0.105,0.005,0,0,0.016,0.093,0.514,0.329,0.403,0.172,0.111
0,1,Urban,Tamil Nadu,2022,0.836,0.114,0.663,0.172,0.017,0.359,0.807,0.021,0.102,0.012,0.053,0.002,0,0.002,0.007,0.044,0.149,0.086,0.106,0.085,0.038
1,1,Urban,Tamil Nadu,2022,0.888,0.248,0.56,0.34,0.004,0.299,0.672,0.023,0.113,0.011,0.056,0.004,0,0,0.019,0.047,0.313,0.194,0.23,0.131,0.075
0,99,All,Tamil Nadu,2022,0.895,0.26,0.707,0.261,0.03,0.339,0.825,0.025,0.153,0.019,0.087,0.003,0,0.001,0.011,0.076,0.236,0.138,0.163,0.145,0.068
1,99,All,Tamil Nadu,2022,0.935,0.424,0.58,0.463,0.013,0.248,0.68,0.019,0.14,0.011,0.088,0.005,0,0,0.017,0.077,0.445,0.283,0.344,0.158,0.099
