,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
175,19698.56,NA,2017,State,All,All,5,state_quint,2017,99,NA,Jharkhand,5,NA,Total,NA,NA,NA,NA
176,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Jharkhand,NA,NA,Total,NA,NA,NA,NA
177,3391.5,NA,2017,State,All,All,1,state_quint,2017,99,NA,Odisha,1,NA,Total,NA,NA,NA,NA
178,5404.25,NA,2017,State,All,All,2,state_quint,2017,99,NA,Odisha,2,NA,Total,NA,NA,NA,NA
179,7372.71,NA,2017,State,All,All,3,state_quint,2017,99,NA,Odisha,3,NA,Total,NA,NA,NA,NA
180,10492.59,NA,2017,State,All,All,4,state_quint,2017,99,NA,Odisha,4,NA,Total,NA,NA,NA,NA
181,19713.56,NA,2017,State,All,All,5,state_quint,2017,99,NA,Odisha,5,NA,Total,NA,NA,NA,NA
182,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Odisha,NA,NA,Total,NA,NA,NA,NA
183,2761.51,NA,2017,State,All,All,1,state_quint,2017,99,NA,Chhattisgarh,1,NA,Total,NA,NA,NA,NA
184,4731.54,NA,2017,State,All,All,2,state_quint,2017,99,NA,Chhattisgarh,2,NA,Total,NA,NA,NA,NA
185,6755.31,NA,2017,State,All,All,3,state_quint,2017,99,NA,Chhattisgarh,3,NA,Total,NA,NA,NA,NA
186,9926.61,NA,2017,State,All,All,4,state_quint,2017,99,NA,Chhattisgarh,4,NA,Total,NA,NA,NA,NA
187,18740.23,NA,2017,State,All,All,5,state_quint,2017,99,NA,Chhattisgarh,5,NA,Total,NA,NA,NA,NA
188,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Chhattisgarh,NA,NA,Total,NA,NA,NA,NA
189,3537.41,NA,2017,State,All,All,1,state_quint,2017,99,NA,Madhya Pradesh,1,NA,Total,NA,NA,NA,NA
190,6082.4,NA,2017,State,All,All,2,state_quint,2017,99,NA,Madhya Pradesh,2,NA,Total,NA,NA,NA,NA
