,X,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,urban,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
124,124,10194.62988,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Arunachal Pradesh,2,NA,Total,NA,NA,NA,NA
125,125,15929.10938,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Arunachal Pradesh,3,NA,Total,NA,NA,NA,NA
126,126,26658.16211,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Arunachal Pradesh,4,NA,Total,NA,NA,NA,NA
127,127,42082.67188,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Arunachal Pradesh,5,NA,Total,NA,NA,NA,NA
128,128,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Arunachal Pradesh,NA,NA,Total,NA,NA,NA,NA
129,129,6328.852051,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Nagaland,1,NA,Total,NA,NA,NA,NA
130,130,10018.50879,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Nagaland,2,NA,Total,NA,NA,NA,NA
131,131,13300.86133,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Nagaland,3,NA,Total,NA,NA,NA,NA
132,132,22066.42188,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Nagaland,4,NA,Total,NA,NA,NA,NA
133,133,37370.76172,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Nagaland,5,NA,Total,NA,NA,NA,NA
134,134,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Nagaland,NA,NA,Total,NA,NA,NA,NA
135,135,5628.161621,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Manipur,1,NA,Total,NA,NA,NA,NA
136,136,9138.094727,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Manipur,2,NA,Total,NA,NA,NA,NA
137,137,11993.74902,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Manipur,3,NA,Total,NA,NA,NA,NA
138,138,17322.9043,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Manipur,4,NA,Total,NA,NA,NA,NA
139,139,33363.02734,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Manipur,5,NA,Total,NA,NA,NA,NA
140,140,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Manipur,NA,NA,Total,NA,NA,NA,NA
141,141,7319.058105,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Mizoram,1,NA,Total,NA,NA,NA,NA
142,142,11185.35254,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Mizoram,2,NA,Total,NA,NA,NA,NA
143,143,14546.05371,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Mizoram,3,NA,Total,NA,NA,NA,NA
144,144,21991.97266,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Mizoram,4,NA,Total,NA,NA,NA,NA
145,145,43914.35156,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Mizoram,5,NA,Total,NA,NA,NA,NA
146,146,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Mizoram,NA,NA,Total,NA,NA,NA,NA
147,147,4986.063477,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Tripura,1,NA,Total,NA,NA,NA,NA
148,148,7788.148926,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Tripura,2,NA,Total,NA,NA,NA,NA
149,149,10463.4668,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Tripura,3,NA,Total,NA,NA,NA,NA
150,150,13407.66699,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Tripura,4,NA,Total,NA,NA,NA,NA
