"","poor_420","inc_selfemp","inc_salaried","inc_casual","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land","inc_selfemp_agri","inc_selfemp_nonagri","inc_casual_agri","inc_casual_nonagri","inc_selfemp_urban","inc_casual_urban","inc_others"
"59",1,0.436435788869858,0.144823491573334,0.349783033132553,2022,"State","All","All Households","state",NA,"Andhra Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0,0.482614487409592,0.241849318146706,0.229262456297874,2022,"State","All","All Households","state",NA,"Karnataka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1,0.529630064964294,0.116813741624355,0.336717277765274,2022,"State","All","All Households","state",NA,"Karnataka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0,0.23638528585434,0.576491475105286,0.0866121426224709,2022,"State","All","All Households","state",NA,"Goa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1,0,0.341710865497589,0.658289134502411,2022,"State","All","All Households","state",NA,"Goa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0,0.38544175028801,0.318932145833969,0.196177929639816,2022,"State","All","All Households","state",NA,"Lakshadweep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,0.224170491099358,0.270721435546875,0.505108058452606,2022,"State","All","All Households","state",NA,"Lakshadweep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",0,0.274819582700729,0.274838894605637,0.267029106616974,2022,"State","All","All Households","state",NA,"Kerala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1,0.205108404159546,0.213225856423378,0.448666572570801,2022,"State","All","All Households","state",NA,"Kerala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",0,0.298842996358871,0.344846069812775,0.290047079324722,2022,"State","All","All Households","state",NA,"Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1,0.241964712738991,0.215950131416321,0.483716458082199,2022,"State","All","All Households","state",NA,"Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0,0.233941987156868,0.401620894670486,0.255701452493668,2022,"State","All","All Households","state",NA,"Puducherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1,0.489958882331848,0.185845553874969,0.267074972391129,2022,"State","All","All Households","state",NA,"Puducherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0,0.323097795248032,0.526278972625732,0.090383417904377,2022,"State","All","All Households","state",NA,"A & N Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1,0.56338506937027,0,0.0469068698585033,2022,"State","All","All Households","state",NA,"A & N Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
