,inc_selfemp,inc_salaried,inc_casual,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,age_cat1,age_cat2,age_cat3,age_cat4,owns_land
3048,0.33239305,0.442056477,0.203281969,2011,state,urban/rural,sector_state,0,Lakshadweep,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3049,0.029191278,0.236813292,0.044739626,2011,state,urban/rural,sector_state,0,Lakshadweep,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3050,0,0.435154587,0,2011,state,urban/rural,sector_state,0,Lakshadweep,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3051,0.35789448,0.158612326,0.432477385,2011,state,urban/rural,sector_state,0,Kerala,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3052,0.326453179,0.154957652,0.430610687,2011,state,urban/rural,sector_state,0,Kerala,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3053,0.332590491,0.147601187,0.303404212,2011,state,urban/rural,sector_state,0,Kerala,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,0.148114949,0.2193726,0.222399369,2011,state,urban/rural,sector_state,0,Kerala,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3055,0.325773895,0.083443105,0.589152753,2011,state,urban/rural,sector_state,0,Tamil Nadu,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3056,0.296571076,0.129648954,0.562592447,2011,state,urban/rural,sector_state,0,Tamil Nadu,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3057,0.276932061,0.125577703,0.532076955,2011,state,urban/rural,sector_state,0,Tamil Nadu,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3058,0.120024949,0.147004664,0.301800847,2011,state,urban/rural,sector_state,0,Tamil Nadu,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3059,0.165321156,0.768472195,0.066206649,2011,state,urban/rural,sector_state,0,Puducherry,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3060,0.366334915,0.117403708,0.506560504,2011,state,urban/rural,sector_state,0,Puducherry,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3061,0.257240564,0.187532574,0.37860477,2011,state,urban/rural,sector_state,0,Puducherry,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3062,0.121651702,0.518950641,0,2011,state,urban/rural,sector_state,0,Puducherry,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
