,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
318,0.288671166,0.086763002,0.013138412,2019,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
319,0.361562312,0.11137829,0.007623886,2019,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,65+,NA,NA,NA
320,0.234626964,0,0,2019,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
321,0.243092537,0.082559898,0,2019,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
322,0.083094068,0.02550883,0.002584904,2019,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
323,0.078865223,0.018442512,0.000263437,2019,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
324,0.118463241,0.016837353,0,2019,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,65+,NA,NA,NA
672,0.363751113,0.128368139,0.019669063,2019,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
673,0.250162601,0.079774223,0.010220055,2019,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
674,0.111707747,0.024406243,0.000758235,2019,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
675,0.050490305,0.010218523,0,2019,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
676,0.09512078,0,0,2019,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
856,0.401901692,0.14626421,0.023512576,2019,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
857,0.288753837,0.091762401,0.013153568,2019,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
858,0.150003597,0.033765368,0.001216293,2019,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
859,0.107044809,0.021623528,0,2019,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
860,0.103732221,0,0,2019,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
861,0.214560434,0.058384247,0.004638725,2019,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
862,0.115714788,0.038008645,0,2019,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
863,0.048315722,0.008913862,0,2019,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
864,0.011780645,0.002412179,0,2019,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
865,0,0,0,2019,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
1210,0.215937763,0.068711981,0.009768095,2019,State,All,Gender,state,99,Andhra Pradesh,NA,NA,NA,NA,1,NA
1211,0.307138473,0.101471148,0.009168919,2019,State,All,Gender,state,99,Andhra Pradesh,NA,NA,NA,NA,2,NA
1212,0.234626964,0,0,2019,State,All,Gender,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
1319,0.273802489,0.088206686,0.013373747,2019,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,NA,NA,1,NA
1320,0.362383574,0.130490229,0.013048989,2019,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,NA,NA,2,NA
1321,0.234626964,0,0,2019,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
1322,0.08136227,0.023373337,0.001382462,2019,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,NA,NA,1,NA
1323,0.176589802,0.032896705,0,2019,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,NA,NA,2,NA
1531,0.620365024,0.204335958,0.009192972,2019,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,1
1532,0.242482424,0.068221249,0.006820508,2019,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,2 to 3
1533,0.184678361,0.064352266,0.009192806,2019,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,4 to 6
1534,0.357351154,0.111481562,0.021773105,2019,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,7+
1679,0.709431589,0.238743529,0.010467773,2019,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,1
1680,0.313378364,0.092216507,0.009165344,2019,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,2 to 3
1681,0.231555969,0.081960551,0.013221659,2019,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,4 to 6
1682,0.412035048,0.132389873,0.02637751,2019,State,urban/rural,HH Size,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,7+
1683,0.360382378,0.10390123,0.005471859,2019,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,1
1684,0.087262899,0.015686072,0.001686728,2019,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,2 to 3
1685,0.077715695,0.024174696,0,2019,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,4 to 6
1686,0.184762254,0.045492437,0.007241055,2019,State,urban/rural,HH Size,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,7+
1961,0.365752429,0.156308576,0.031971324,2015,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
1997,0.43596521,0.197239131,0.040450882,2015,State,urban/rural,All Households,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
1998,0.196079254,0.057397518,0.011479977,2015,State,urban/rural,All Households,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2084,0.563305199,0.29724896,0.089066207,2015,State,All,Age,state,99,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
2085,0.32792443,0.138315171,0.031354379,2015,State,All,Age,state,99,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
2086,0.351149201,0.134745315,0.02355919,2015,State,All,Age,state,99,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
2087,0.420648545,0.196185321,0.025704728,2015,State,All,Age,state,99,Andhra Pradesh,NA,NA,65+,NA,NA,NA
2088,0,0,0,2015,State,All,Age,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2243,0.608629227,0.337596416,0.104563661,2015,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
2244,0.388782531,0.171155378,0.039330479,2015,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
2245,0.430449039,0.178023055,0.03134238,2015,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
2246,0.501259327,0.249756888,0.033074133,2015,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,65+,NA,NA,NA
2247,0,0,0,2015,State,urban/rural,Age,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2248,0.443866313,0.19092454,0.048226986,2015,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,15 to 29,NA,NA,NA
2249,0.186255425,0.061867781,0.01278715,2015,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,30 to 45,NA,NA,NA
2250,0.171207458,0.036542438,0.005898111,2015,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,45 to 64,NA,NA,NA
2251,0.167800859,0.028150221,0.002589498,2015,State,urban/rural,Age,statesector,1,Andhra Pradesh,NA,NA,65+,NA,NA,NA
2553,0.531339169,0.269953191,0.060458671,2015,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
2554,0.408800513,0.180041239,0.040902663,2015,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
2555,0.225807056,0.058035087,0.00485221,2015,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
2556,0.142409772,0.024528662,0.001211602,2015,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
2557,0.160682172,0.04381476,0,2015,State,All,Education,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2732,0.576712489,0.305278629,0.068281166,2015,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
2733,0.46630609,0.214150622,0.050769988,2015,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
2734,0.28209129,0.07960362,0.005760654,2015,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
2735,0.212591738,0.044679705,0.00246389,2015,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
2736,0.179589391,0.068250656,0,2015,State,urban/rural,Education,statesector,0,Andhra Pradesh,NA,NA,NA,NA,NA,NA
2737,0.35362187,0.131591275,0.029819684,2015,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,No education / Preschool,NA,NA
2738,0.255354285,0.089024745,0.014572993,2015,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Primary,NA,NA
2739,0.116795614,0.016261088,0.003092734,2015,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Secondary,NA,NA
2740,0.074507885,0.005032291,0,2015,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,Higher,NA,NA
2741,0.126780599,0,0,2015,State,urban/rural,Education,statesector,1,Andhra Pradesh,NA,NA,NA,NA,NA,NA
3078,0.356279045,0.147533908,0.031409986,2015,State,All,Gender,state,99,Andhra Pradesh,NA,NA,NA,NA,1,NA
3079,0.444627255,0.229365855,0.036644977,2015,State,All,Gender,state,99,Andhra Pradesh,NA,NA,NA,NA,2,NA
3150,0.426033258,0.186242223,0.03935159,2015,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,NA,NA,1,NA
3151,0.519095838,0.289283663,0.049651999,2015,State,urban/rural,Gender,statesector,0,Andhra Pradesh,NA,NA,NA,NA,2,NA
3152,0.187388092,0.053812213,0.012181536,2015,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,NA,NA,1,NA
3153,0.267530084,0.08687263,0.00571239,2015,State,urban/rural,Gender,statesector,1,Andhra Pradesh,NA,NA,NA,NA,2,NA
3302,0.779598951,0.486573964,0.029499279,2015,State,All,HH Size,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,1
