"","poor_215","poor_365","poor_685","poor_300","poor_420","poor_830","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land"
"40",0.0344519645886318,0.385059773163275,0.919030256886033,0.0715414430954584,0.319981782310939,0.919280223946527,2011,"State","urban/rural","All Households","sector_state",0,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0.0271288405257832,0.331756474958108,0.877072759915807,0.0496152985751097,0.292361240582275,0.878682826977308,2011,"State","urban/rural","All Households","sector_state",0,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",0.0373263236304292,0.38953189984078,0.874445670964118,0.0855120247678901,0.347615206193703,0.875034558412527,2011,"State","urban/rural","All Households","sector_state",0,"Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0,0.372783376384435,0.810783715281985,0.0646231368182644,0.372783376384435,0.810783715281985,2011,"State","urban/rural","All Households","sector_state",0,"Chandigarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.0314174995203363,0.483701254999668,0.923580154334934,0.0619048466713555,0.447994108136763,0.924375801433279,2011,"State","urban/rural","All Households","sector_state",0,"Uttrakhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",0.0605602905813558,0.416906593468376,0.88591426864962,0.113641805110472,0.365885834983692,0.88591426864962,2011,"State","urban/rural","All Households","sector_state",0,"Haryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",0.045242794759555,0.317655864862972,0.846167412163406,0.0455906572988505,0.317035456397341,0.846167412163406,2011,"State","urban/rural","All Households","sector_state",0,"Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",0.114020956771536,0.626456376824312,0.96171873562175,0.223323427978024,0.579015668912848,0.962407836517709,2011,"State","urban/rural","All Households","sector_state",0,"Rajasthan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",0.288654912746023,0.807009021834728,0.980298857578123,0.44302036236782,0.77768947455505,0.980379659425223,2011,"State","urban/rural","All Households","sector_state",0,"Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",0.238225002133364,0.832450551507815,0.992459504278151,0.410612102862488,0.792589767208865,0.992493676138758,2011,"State","urban/rural","All Households","sector_state",0,"Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",0.0228231520733807,0.694049069024298,0.979816466899083,0.113395476252587,0.630829354735327,0.979816466899083,2011,"State","urban/rural","All Households","sector_state",0,"Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0.286724837379995,0.627243372681917,0.87715644102291,0.389822827801221,0.611340341683968,0.87715644102291,2011,"State","urban/rural","All Households","sector_state",0,"Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0.0446901955754333,0.572316233381753,0.954328834077139,0.122042042332349,0.507740397892777,0.954660235371826,2011,"State","urban/rural","All Households","sector_state",0,"Nagaland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",0.355429684577952,0.834025717663376,0.989097282654055,0.519140945670421,0.807852097889522,0.989520311262921,2011,"State","urban/rural","All Households","sector_state",0,"Manipur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",0.0788542557418243,0.585212480675693,0.953156449218191,0.160942915064335,0.51812295359283,0.953156449218191,2011,"State","urban/rural","All Households","sector_state",0,"Mizoram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0.0813519296854225,0.638818898824926,0.968569935462512,0.180697466054038,0.573245699557895,0.968997957666612,2011,"State","urban/rural","All Households","sector_state",0,"Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0.0811064610356295,0.711523554550468,0.981094489305315,0.194160037736333,0.676371983534888,0.98191735828334,2011,"State","urban/rural","All Households","sector_state",0,"Meghalaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0.231779760797134,0.789104760897585,0.983605054182469,0.387419559227353,0.750356302607324,0.984277255339798,2011,"State","urban/rural","All Households","sector_state",0,"Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0.19478073465684,0.752932162215842,0.972369514023274,0.336893622765688,0.706713781134834,0.97245348177504,2011,"State","urban/rural","All Households","sector_state",0,"West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",0.305525889591621,0.880501745616433,0.988225622655462,0.506915977385237,0.855012809940886,0.988367107237452,2011,"State","urban/rural","All Households","sector_state",0,"Jharkhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0.282041478458311,0.826105634816776,0.989392581464483,0.470627587824971,0.793498051801871,0.989392581464483,2011,"State","urban/rural","All Households","sector_state",0,"Odisha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0.259315942604999,0.832759606548577,0.984188960512128,0.394810242652734,0.793491113917822,0.985949029885629,2011,"State","urban/rural","All Households","sector_state",0,"Chhattisgarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0.320655642738058,0.810558338243343,0.978514516062033,0.481777244503803,0.779451756399461,0.978573651290735,2011,"State","urban/rural","All Households","sector_state",0,"Madhya Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",0.210136276193628,0.722703082395253,0.984853994254471,0.345531116265429,0.701689440398112,0.984856176778535,2011,"State","urban/rural","All Households","sector_state",0,"Gujarat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0.328857982038711,0.775439723339381,0.933669149058551,0.403704660906813,0.712845062418776,0.933669149058551,2011,"State","urban/rural","All Households","sector_state",0,"Daman & Diu & D & N Haveli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0.120117044264883,0.682126348592105,0.964999458994172,0.227731501097066,0.631727541007527,0.965066316681512,2011,"State","urban/rural","All Households","sector_state",0,"Maharashtra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",0.0535219979172421,0.492956419663372,0.943590072376547,0.13408615274234,0.419396543981215,0.944056309442921,2011,"State","urban/rural","All Households","sector_state",0,"Andhra Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0.0453035009007628,0.561721582580597,0.940184868477819,0.124110976380373,0.499904448917888,0.941013118170365,2011,"State","urban/rural","All Households","sector_state",0,"Karnataka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",0.0441943865835873,0.324685111773038,0.895406489096228,0.0531881545173675,0.322509962720666,0.899152721982918,2011,"State","urban/rural","All Households","sector_state",0,"Goa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",0,0.0429025545469005,0.678779712525378,0,0.038484354278841,0.678779712525378,2011,"State","urban/rural","All Households","sector_state",0,"Lakshadweep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0.0255740899021052,0.297126941756942,0.80625341767351,0.0594133422961343,0.255823597349309,0.806693776348449,2011,"State","urban/rural","All Households","sector_state",0,"Kerala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",0.0670149455634856,0.451301475717471,0.905277796812444,0.134566006394486,0.397340978031092,0.906616251817634,2011,"State","urban/rural","All Households","sector_state",0,"Tamil Nadu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.00263875309935636,0.323577190971715,0.922463345907245,0.0397970566444349,0.214790802966691,0.922463345907245,2011,"State","urban/rural","All Households","sector_state",0,"Puducherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",0,0.0830625143209353,0.722522364167283,0.0048005451401079,0.0493728641933755,0.722522364167283,2011,"State","urban/rural","All Households","sector_state",0,"A & N Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",0.0299475065665374,0.516066581944644,0.958753752285758,0.0878975919754563,0.453954729865992,0.958838225915603,2011,"State","urban/rural","All Households","sector_state",0,"Telangana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",0,0.310094492493228,0.915471323413841,0,0.184260332925442,0.915471323413841,2011,"State","urban/rural","All Households","sector_state",0,"Ladakh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0.0241596345722799,0.268298975866503,0.784515894798806,0.0646074769829426,0.241233925948599,0.785576592867198,2011,"State","urban/rural","All Households","sector_state",1,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",0.0175195346226679,0.190464181377362,0.696217641148644,0.0396002217969086,0.157401816574753,0.697157245759588,2011,"State","urban/rural","All Households","sector_state",1,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",0.0716786720328281,0.370098751080114,0.819672755577094,0.103306348980466,0.327992382840362,0.819672755577094,2011,"State","urban/rural","All Households","sector_state",1,"Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.0896771730782037,0.383910862094825,0.810458748519013,0.160726099461332,0.376599468858313,0.810458748519013,2011,"State","urban/rural","All Households","sector_state",1,"Chandigarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",0.0795895569240291,0.447040296740667,0.861053670371219,0.145193635534506,0.397509231386675,0.862851814974564,2011,"State","urban/rural","All Households","sector_state",1,"Uttrakhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0.0642525550450186,0.286028259266018,0.739983530048481,0.0938051150760841,0.251984100642806,0.740127588788517,2011,"State","urban/rural","All Households","sector_state",1,"Haryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.0433076990218192,0.33262316797795,0.765423146355895,0.108179083176124,0.289377979050874,0.767995471579194,2011,"State","urban/rural","All Households","sector_state",1,"Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
