,welfare_agg21_sp,year,level,area,dem,SourceSheet,sector2,quintile_overall,state,age_cat,edu_cat,gen_cat,hhsize_cat,owns_land,nat_quint,sec_quint,state_sec_quint,state_quint,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint
78,2929.57,2011,State,urban/rural,All Households,state_sec_quint,0,3,Delhi,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,4282.3,2011,State,urban/rural,All Households,state_sec_quint,0,4,Delhi,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,5758.58,2011,State,urban/rural,All Households,state_sec_quint,0,5,Delhi,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1741.61,2011,State,urban/rural,All Households,state_sec_quint,1,1,Delhi,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2539.56,2011,State,urban/rural,All Households,state_sec_quint,1,2,Delhi,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,3144.59,2011,State,urban/rural,All Households,state_sec_quint,1,3,Delhi,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,4302.71,2011,State,urban/rural,All Households,state_sec_quint,1,4,Delhi,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,7893.85,2011,State,urban/rural,All Households,state_sec_quint,1,5,Delhi,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1490.78,2011,State,urban/rural,All Households,state_sec_quint,0,1,Rajasthan,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1952.45,2011,State,urban/rural,All Households,state_sec_quint,0,2,Rajasthan,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2337.55,2011,State,urban/rural,All Households,state_sec_quint,0,3,Rajasthan,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2798.89,2011,State,urban/rural,All Households,state_sec_quint,0,4,Rajasthan,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,3805.42,2011,State,urban/rural,All Households,state_sec_quint,0,5,Rajasthan,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1604.7,2011,State,urban/rural,All Households,state_sec_quint,1,1,Rajasthan,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2251.67,2011,State,urban/rural,All Households,state_sec_quint,1,2,Rajasthan,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2793.83,2011,State,urban/rural,All Households,state_sec_quint,1,3,Rajasthan,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,3569.17,2011,State,urban/rural,All Households,state_sec_quint,1,4,Rajasthan,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,5667.96,2011,State,urban/rural,All Households,state_sec_quint,1,5,Rajasthan,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1241.46,2011,State,urban/rural,All Households,state_sec_quint,0,1,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1557.63,2011,State,urban/rural,All Households,state_sec_quint,0,2,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1875.33,2011,State,urban/rural,All Households,state_sec_quint,0,3,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2262.43,2011,State,urban/rural,All Households,state_sec_quint,0,4,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3225.66,2011,State,urban/rural,All Households,state_sec_quint,0,5,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1242.12,2011,State,urban/rural,All Households,state_sec_quint,1,1,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
