,quintile_overall,welfare_agg21_sp,year,level,area,dem,state,SourceSheet,sector,sector2,nat_quint,sec_quint,state_quint,state_sec_quint,age_cat,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,edu_cat,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,gen_cat,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,hhsize_cat,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,owns_land,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint,inc_cat,nat_inc_quint,sec_inc_quint,state_inc_quint,state_sec_inc_quint,owns_dwelling,nat_dwel_quint,sec_dwel_quint,state_dwel_quint,state_sec_dwel_quint
13448,5,6904.951998,2022,State,All,Age,Andaman and Nicobar Islands,state_quint,NA,99,NA,NA,NA,NA,65+,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14809,1,3905.192803,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,15-29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14810,2,4935.531912,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,15-29,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14811,3,5828.037626,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,15-29,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14812,4,7173.081447,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,15-29,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14813,5,12376.48833,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,15-29,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14814,1,3616.16507,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,30–45,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14815,2,4867.499129,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,30–45,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14816,3,5374.773554,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,30–45,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14817,4,6474.551224,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,30–45,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14818,5,8315.829206,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,30–45,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14819,1,3299.003679,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,46–64,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14820,2,4209.264301,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,46–64,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14821,3,5319.39106,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,46–64,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14822,4,6407.774701,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,46–64,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14823,5,8396.609336,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,46–64,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14824,1,3179.528024,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,65+,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14825,2,3785.873826,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,65+,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14826,3,4231.848778,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,65+,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14827,4,5725.555529,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,65+,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14828,5,6904.951998,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,0,0,NA,NA,NA,NA,65+,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14829,1,3443.837696,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,15-29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14830,2,5991.912672,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,15-29,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14831,3,8251.769102,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,15-29,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14832,4,9893.039685,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,15-29,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14833,5,14938.28452,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,15-29,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14834,1,4114.224316,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,30–45,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14835,2,5186.74288,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,30–45,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14836,3,6545.206201,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,30–45,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14837,4,7492.753635,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,30–45,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14838,5,10095.78663,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,30–45,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14839,1,4348.981456,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,46–64,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14840,2,5642.10136,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,46–64,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14841,3,6184.432958,2022,State,urban/rural,Age,Andaman and Nicobar Islands,state_sec_quint,1,1,NA,NA,NA,NA,46–64,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
